Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;7192;1,88;309;72;237;t00
dolnoœl¹skie;409;1,41;20;6;14;t02
kujawsko-pomorskie;768;3,71;32;5;27;t04
lubelskie;524;2,49;27;9;18;t06
lubuskie;141;1,4;5;2;3;t08
³ódzkie;453;1,85;22;3;19;t10
ma³opolskie;196;0,57;25;13;12;t12
mazowieckie;884;1,63;29;11;18;t14
opolskie;93;0,95;19;3;16;t16
podkarpackie;225;1,06;11;2;9;t18
podlaskie;172;1,46;4;0;4;t20
pomorskie;697;2,97;12;5;7;t22
œl¹skie;719;1,59;20;1;19;t24
œwiêtokrzyskie;153;1,24;15;2;13;t26
warmiñsko-mazurskie;578;4,07;20;5;15;t28
wielkopolskie;574;1,64;24;4;20;t30
zachodniopomorskie;391;2,31;24;1;23;t32
