Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;4423;1,15;92;10;82;t00
dolnoœl¹skie;287;0,99;2;1;1;t02
kujawsko-pomorskie;351;1,7;6;1;5;t04
lubelskie;177;0,84;7;3;4;t06
lubuskie;163;1,61;0;0;0;t08
³ódzkie;238;0,97;8;1;7;t10
ma³opolskie;214;0,63;0;0;0;t12
mazowieckie;609;1,12;18;1;17;t14
opolskie;195;1,99;1;0;1;t16
podkarpackie;155;0,73;3;0;3;t18
podlaskie;155;1,32;5;0;5;t20
pomorskie;335;1,43;7;0;7;t22
œl¹skie;265;0,59;10;1;9;t24
œwiêtokrzyskie;69;0,56;7;2;5;t26
warmiñsko-mazurskie;217;1,53;4;0;4;t28
wielkopolskie;424;1,21;13;0;13;t30
zachodniopomorskie;529;3,12;1;0;1;t32
