Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;3678;0,96;57;6;51;t00
dolnoœl¹skie;153;0,53;0;0;0;t02
kujawsko-pomorskie;326;1,58;6;0;6;t04
lubelskie;103;0,49;7;1;6;t06
lubuskie;65;0,64;0;0;0;t08
³ódzkie;199;0,81;2;1;1;t10
ma³opolskie;115;0,34;2;1;1;t12
mazowieckie;532;0,98;8;0;8;t14
opolskie;99;1,01;1;0;1;t16
podkarpackie;68;0,32;1;1;0;t18
podlaskie;93;0,79;1;0;1;t20
pomorskie;536;2,28;4;0;4;t22
œl¹skie;279;0,62;3;1;2;t24
œwiêtokrzyskie;51;0,41;0;0;0;t26
warmiñsko-mazurskie;188;1,32;1;1;0;t28
wielkopolskie;387;1,11;18;0;18;t30
zachodniopomorskie;270;1,59;3;0;3;t32
