Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;4896;1,28;96;40;56;t00
dolnoœl¹skie;258;0,89;0;0;0;t02
kujawsko-pomorskie;531;2,57;9;1;8;t04
lubelskie;179;0,85;11;0;11;t06
lubuskie;207;2,05;7;4;3;t08
³ódzkie;190;0,78;0;0;0;t10
ma³opolskie;143;0,42;0;0;0;t12
mazowieckie;715;1,32;12;4;8;t14
opolskie;176;1,79;1;0;1;t16
podkarpackie;180;0,85;3;0;3;t18
podlaskie;78;0,66;0;0;0;t20
pomorskie;460;1,96;4;0;4;t22
œl¹skie;272;0,6;3;1;2;t24
œwiêtokrzyskie;108;0,88;0;0;0;t26
warmiñsko-mazurskie;275;1,94;1;0;1;t28
wielkopolskie;392;1,12;43;30;13;t30
zachodniopomorskie;561;3,31;2;0;2;t32
