Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;4633;1,21;77;34;43;t00
dolnoœl¹skie;206;0,71;5;4;1;t02
kujawsko-pomorskie;480;2,32;4;0;4;t04
lubelskie;245;1,16;0;0;0;t06
lubuskie;168;1,66;0;0;0;t08
³ódzkie;265;1,08;2;1;1;t10
ma³opolskie;207;0,61;3;3;0;t12
mazowieckie;630;1,16;10;1;9;t14
opolskie;138;1,41;2;1;1;t16
podkarpackie;132;0,62;5;0;5;t18
podlaskie;100;0,85;1;0;1;t20
pomorskie;549;2,34;2;2;0;t22
œl¹skie;240;0,53;2;1;1;t24
œwiêtokrzyskie;65;0,53;6;0;6;t26
warmiñsko-mazurskie;171;1,2;1;0;1;t28
wielkopolskie;302;0,86;32;21;11;t30
zachodniopomorskie;561;3,31;2;0;2;t32
