Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;11013;2,87;426;122;304;t00
dolnoœl¹skie;691;2,38;32;15;17;t02
kujawsko-pomorskie;1050;5,07;27;5;22;t04
lubelskie;534;2,54;21;3;18;t06
lubuskie;427;4,23;27;20;7;t08
³ódzkie;656;2,68;34;14;20;t10
ma³opolskie;399;1,17;21;10;11;t12
mazowieckie;1422;2,62;46;12;34;t14
opolskie;250;2,55;13;1;12;t16
podkarpackie;168;0,79;29;7;22;t18
podlaskie;266;2,26;12;6;6;t20
pomorskie;951;4,05;23;6;17;t22
œl¹skie;918;2,04;46;7;39;t24
œwiêtokrzyskie;180;1,46;14;0;14;t26
warmiñsko-mazurskie;827;5,82;19;1;18;t28
wielkopolskie;1148;3,28;33;13;20;t30
zachodniopomorskie;956;5,65;29;2;27;t32
