Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;11497;3;502;131;371;t00
dolnoœl¹skie;698;2,41;34;6;28;t02
kujawsko-pomorskie;1083;5,23;47;11;36;t04
lubelskie;745;3,54;23;5;18;t06
lubuskie;373;3,69;12;6;6;t08
³ódzkie;695;2,84;35;8;27;t10
ma³opolskie;404;1,18;22;7;15;t12
mazowieckie;1522;2,8;75;27;48;t14
opolskie;315;3,21;8;2;6;t16
podkarpackie;525;2,47;23;4;19;t18
podlaskie;356;3,03;13;6;7;t20
pomorskie;752;3,2;32;7;25;t22
œl¹skie;993;2,2;62;8;54;t24
œwiêtokrzyskie;183;1,49;15;2;13;t26
warmiñsko-mazurskie;736;5,18;26;5;21;t28
wielkopolskie;1032;2,95;58;27;31;t30
zachodniopomorskie;973;5,75;17;0;17;t32
