wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;Ca³y kraj;4622;1,21;75;10;65;t0000
dolnoœl¹skie;boles³awiecki;8;0,89;0;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;0;0;0;0;0;t0202
dolnoœl¹skie;g³ogowski;2;0,23;0;0;0;t0203
dolnoœl¹skie;górowski;0;0;0;0;0;t0204
dolnoœl¹skie;jaworski;10;2,00;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;8;1,26;0;0;0;t0206
dolnoœl¹skie;kamiennogórski;0;0;0;0;0;t0207
dolnoœl¹skie;k³odzki;16;1,02;0;0;0;t0208
dolnoœl¹skie;legnicki;2;0,36;0;0;0;t0209
dolnoœl¹skie;lubañski;3;0,55;0;0;0;t0210
dolnoœl¹skie;lubiñski;2;0,19;0;0;0;t0211
dolnoœl¹skie;lwówecki;2;0,44;0;0;0;t0212
dolnoœl¹skie;milicki;4;1,08;0;0;0;t0213
dolnoœl¹skie;oleœnicki;8;0,75;0;0;0;t0214
dolnoœl¹skie;o³awski;8;1,04;0;0;0;t0215
dolnoœl¹skie;polkowicki;0;0;0;0;0;t0216
dolnoœl¹skie;strzeliñski;3;0,69;0;0;0;t0217
dolnoœl¹skie;œredzki;3;0,54;0;0;0;t0218
dolnoœl¹skie;œwidnicki;3;0,19;0;0;0;t0219
dolnoœl¹skie;trzebnicki;6;0,70;0;0;0;t0220
dolnoœl¹skie;wa³brzyski;4;0,72;0;0;0;t0221
dolnoœl¹skie;wo³owski;15;3,21;0;0;0;t0222
dolnoœl¹skie;wroc³awski;13;0,84;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;8;1,24;0;0;0;t0224
dolnoœl¹skie;zgorzelecki;4;0,45;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;3;0,69;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;7;0,89;0;0;0;t0261
dolnoœl¹skie;Legnica;1;0,10;0;0;0;t0262
dolnoœl¹skie;Wroc³aw;67;1,04;0;0;0;t0264
dolnoœl¹skie;Wa³brzych;16;1,45;0;0;0;t0265
kujawsko-pomorskie;aleksandrowski;5;0,91;0;0;0;t0401
kujawsko-pomorskie;brodnicki;4;0,51;0;0;0;t0402
kujawsko-pomorskie;bydgoski;30;2,51;0;0;0;t0403
kujawsko-pomorskie;che³miñski;2;0,39;0;0;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;6;1,33;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;20;4,97;1;1;0;t0406
kujawsko-pomorskie;inowroc³awski;10;0,63;1;0;1;t0407
kujawsko-pomorskie;lipnowski;6;0,91;0;0;0;t0408
kujawsko-pomorskie;mogileñski;7;1,54;0;0;0;t0409
kujawsko-pomorskie;nakielski;17;1,97;0;0;0;t0410
kujawsko-pomorskie;radziejowski;2;0,50;0;0;0;t0411
kujawsko-pomorskie;rypiñski;3;0,69;0;0;0;t0412
kujawsko-pomorskie;sêpoleñski;8;1,95;2;0;2;t0413
kujawsko-pomorskie;œwiecki;24;2,43;0;0;0;t0414
kujawsko-pomorskie;toruñski;8;0,73;0;0;0;t0415
kujawsko-pomorskie;tucholski;9;1,86;0;0;0;t0416
kujawsko-pomorskie;w¹brzeski;11;3,22;0;0;0;t0417
kujawsko-pomorskie;w³oc³awski;23;2,68;0;0;0;t0418
kujawsko-pomorskie;¿niñski;15;2,14;0;0;0;t0419
kujawsko-pomorskie;Bydgoszcz;121;3,49;0;0;0;t0461
kujawsko-pomorskie;Grudzi¹dz;33;3,51;2;1;1;t0462
kujawsko-pomorskie;Toruñ;8;0,40;0;0;0;t0463
kujawsko-pomorskie;W³oc³awek;16;1,46;0;0;0;t0464
lubelskie;bialski;8;0,72;0;0;0;t0601
lubelskie;bi³gorajski;0;0;0;0;0;t0602
lubelskie;che³mski;5;0,64;0;0;0;t0603
lubelskie;hrubieszowski;4;0,64;0;0;0;t0604
lubelskie;janowski;6;1,32;0;0;0;t0605
lubelskie;krasnostawski;7;1,11;0;0;0;t0606
lubelskie;kraœnicki;6;0,63;0;0;0;t0607
lubelskie;lubartowski;8;0,91;0;0;0;t0608
lubelskie;lubelski;3;0,19;0;0;0;t0609
lubelskie;³êczyñski;4;0,70;1;0;1;t0610
lubelskie;³ukowski;8;0,75;0;0;0;t0611
lubelskie;opolski;1;0,17;0;0;0;t0612
lubelskie;parczewski;5;1,45;0;0;0;t0613
lubelskie;pu³awski;9;0,80;0;0;0;t0614
lubelskie;radzyñski;4;0,68;1;0;1;t0615
lubelskie;rycki;1;0,18;0;0;0;t0616
lubelskie;œwidnicki;2;0,28;2;2;0;t0617
lubelskie;tomaszowski;20;2,43;0;0;0;t0618
lubelskie;w³odawski;3;0,79;0;0;0;t0619
lubelskie;zamojski;3;0,28;0;0;0;t0620
