Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;12168;3,17;568;133;435;t00
dolnoœl¹skie;813;2,8;50;15;35;t02
kujawsko-pomorskie;1101;5,32;28;4;24;t04
lubelskie;728;3,46;37;10;27;t06
lubuskie;349;3,45;16;6;10;t08
³ódzkie;821;3,35;64;5;59;t10
ma³opolskie;564;1,65;40;16;24;t12
mazowieckie;1496;2,76;41;5;36;t14
opolskie;224;2,28;19;0;19;t16
podkarpackie;253;1,19;33;7;26;t18
podlaskie;360;3,06;12;10;2;t20
pomorskie;933;3,98;33;6;27;t22
œl¹skie;1465;3,25;64;3;61;t24
œwiêtokrzyskie;178;1,45;18;4;14;t26
warmiñsko-mazurskie;651;4,58;21;5;16;t28
wielkopolskie;1213;3,47;57;33;24;t30
zachodniopomorskie;932;5,5;35;4;31;t32
