Województwo;Powiat/Miasto;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;;7192;1,88;309;72;237;t0000
dolnoœl¹skie;boles³awiecki;33;3,67;0;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;2;0,2;0;0;0;t0202
dolnoœl¹skie;g³ogowski;8;0,9;0;0;0;t0203
dolnoœl¹skie;górowski;1;0,29;0;0;0;t0204
dolnoœl¹skie;jaworski;6;1,2;1;1;0;t0205
dolnoœl¹skie;jeleniogórski;8;1,26;0;0;0;t0206
dolnoœl¹skie;kamiennogórski;3;0,7;0;0;0;t0207
dolnoœl¹skie;k³odzki;8;0,51;0;0;0;t0208
dolnoœl¹skie;legnicki;10;1,81;0;0;0;t0209
dolnoœl¹skie;lubañski;9;1,66;0;0;0;t0210
dolnoœl¹skie;lubiñski;21;1,98;0;0;0;t0211
dolnoœl¹skie;lwówecki;4;0,87;0;0;0;t0212
dolnoœl¹skie;milicki;2;0,54;3;3;0;t0213
dolnoœl¹skie;oleœnicki;11;1,02;2;0;2;t0214
dolnoœl¹skie;o³awski;9;1,17;2;1;1;t0215
dolnoœl¹skie;polkowicki;3;0,48;0;0;0;t0216
dolnoœl¹skie;strzeliñski;2;0,46;0;0;0;t0217
dolnoœl¹skie;œredzki;12;2,17;0;0;0;t0218
dolnoœl¹skie;œwidnicki;17;1,09;1;0;1;t0219
dolnoœl¹skie;trzebnicki;5;0,59;2;0;2;t0220
dolnoœl¹skie;wa³brzyski;15;2,71;2;0;2;t0221
dolnoœl¹skie;wo³owski;3;0,64;0;0;0;t0222
dolnoœl¹skie;wroc³awski;8;0,52;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;3;0,47;1;1;0;t0224
dolnoœl¹skie;zgorzelecki;24;2,7;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;7;1,62;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;7;0,89;0;0;0;t0261
dolnoœl¹skie;Legnica;20;2,02;3;0;3;t0262
dolnoœl¹skie;Wroc³aw;133;2,07;2;0;2;t0264
dolnoœl¹skie;Wa³brzych;15;1,36;1;0;1;t0265
kujawsko-pomorskie;aleksandrowski;8;1,45;0;0;0;t0401
kujawsko-pomorskie;brodnicki;41;5,18;1;0;1;t0402
kujawsko-pomorskie;bydgoski;45;3,77;1;0;1;t0403
kujawsko-pomorskie;che³miñski;16;3,09;0;0;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;7;1,56;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;12;2,98;0;0;0;t0406
kujawsko-pomorskie;inowroc³awski;31;1,95;11;2;9;t0407
kujawsko-pomorskie;lipnowski;25;3,81;1;0;1;t0408
kujawsko-pomorskie;mogileñski;5;1,1;0;0;0;t0409
kujawsko-pomorskie;nakielski;29;3,36;2;0;2;t0410
kujawsko-pomorskie;radziejowski;20;4,97;1;0;1;t0411
kujawsko-pomorskie;rypiñski;2;0,46;2;0;2;t0412
kujawsko-pomorskie;sêpoleñski;29;7,09;1;0;1;t0413
kujawsko-pomorskie;œwiecki;14;1,42;1;0;1;t0414
kujawsko-pomorskie;toruñski;64;5,87;0;0;0;t0415
kujawsko-pomorskie;tucholski;19;3,93;2;1;1;t0416
kujawsko-pomorskie;w¹brzeski;18;5,28;0;0;0;t0417
kujawsko-pomorskie;w³oc³awski;20;2,33;0;0;0;t0418
