Województwo;Powiat/Miasto;Liczba;Liczba na 10 tys. mieszkañców;Wszystkie przypadki œmiertelne;Przypadki œmiertelne w wyniku Covid;Przypadki œmiertelne w wyniku chorób wspó³istniej¹cych;id
Ca³y kraj;;16687;4,35;580;78;502;t0000
dolnoœl¹skie;boles³awiecki;75;8,33;1;0;1;t0201
dolnoœl¹skie;dzier¿oniowski;20;1,99;2;0;2;t0202
dolnoœl¹skie;g³ogowski;44;4,95;1;0;1;t0203
dolnoœl¹skie;górowski;5;1,44;0;0;0;t0204
dolnoœl¹skie;jaworski;22;4,41;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;28;4,42;5;4;1;t0206
dolnoœl¹skie;kamiennogórski;2;0,46;0;0;0;t0207
dolnoœl¹skie;k³odzki;45;2,86;0;0;0;t0208
dolnoœl¹skie;legnicki;57;10,32;1;0;1;t0209
dolnoœl¹skie;lubañski;53;9,8;1;0;1;t0210
dolnoœl¹skie;lubiñski;9;0,85;2;0;2;t0211
dolnoœl¹skie;lwówecki;13;2,84;2;2;0;t0212
dolnoœl¹skie;milicki;15;4,06;0;0;0;t0213
dolnoœl¹skie;oleœnicki;47;4,38;1;0;1;t0214
dolnoœl¹skie;o³awski;32;4,16;0;0;0;t0215
dolnoœl¹skie;polkowicki;19;3,01;2;0;2;t0216
dolnoœl¹skie;strzeliñski;19;4,37;3;2;1;t0217
dolnoœl¹skie;œredzki;26;4,7;5;0;5;t0218
dolnoœl¹skie;œwidnicki;76;4,85;4;0;4;t0219
dolnoœl¹skie;trzebnicki;19;2,22;0;0;0;t0220
dolnoœl¹skie;wa³brzyski;11;1,99;4;0;4;t0221
dolnoœl¹skie;wo³owski;7;1,5;2;0;2;t0222
dolnoœl¹skie;wroc³awski;67;4,35;14;0;14;t0223
dolnoœl¹skie;z¹bkowicki;7;1,09;1;0;1;t0224
dolnoœl¹skie;zgorzelecki;29;3,27;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;12;2,77;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;22;2,79;0;0;0;t0261
dolnoœl¹skie;Legnica;43;4,34;0;0;0;t0262
dolnoœl¹skie;Wroc³aw;265;4,12;0;0;0;t0264
dolnoœl¹skie;Wa³brzych;23;2,08;0;0;0;t0265
kujawsko-pomorskie;aleksandrowski;31;5,64;0;0;0;t0401
kujawsko-pomorskie;brodnicki;18;2,27;0;0;0;t0402
kujawsko-pomorskie;bydgoski;61;5,11;0;0;0;t0403
kujawsko-pomorskie;che³miñski;36;6,95;0;0;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;43;9,57;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;25;6,22;0;0;0;t0406
kujawsko-pomorskie;inowroc³awski;62;3,89;0;0;0;t0407
kujawsko-pomorskie;lipnowski;27;4,12;0;0;0;t0408
kujawsko-pomorskie;mogileñski;21;4,61;0;0;0;t0409
kujawsko-pomorskie;nakielski;56;6,49;0;0;0;t0410
kujawsko-pomorskie;radziejowski;38;9,45;1;0;1;t0411
kujawsko-pomorskie;rypiñski;15;3,46;1;0;1;t0412
kujawsko-pomorskie;sêpoleñski;29;7,09;4;0;4;t0413
kujawsko-pomorskie;œwiecki;79;7,99;11;0;11;t0414
kujawsko-pomorskie;toruñski;73;6,7;0;0;0;t0415
kujawsko-pomorskie;tucholski;34;7,03;0;0;0;t0416
kujawsko-pomorskie;w¹brzeski;27;7,91;0;0;0;t0417
kujawsko-pomorskie;w³oc³awski;49;5,7;0;0;0;t0418
kujawsko-pomorskie;¿niñski;35;5;0;0;0;t0419
kujawsko-pomorskie;Bydgoszcz;205;5,91;1;1;0;t0461
kujawsko-pomorskie;Grudzi¹dz;54;5,74;1;0;1;t0462
kujawsko-pomorskie;Toruñ;139;6,91;4;0;4;t0463
kujawsko-pomorskie;W³oc³awek;50;4,57;1;0;1;t0464
lubelskie;bialski;28;2,53;5;2;3;t0601
lubelskie;bi³gorajski;27;2,68;2;0;2;t0602
lubelskie;che³mski;44;5,66;0;0;0;t0603
lubelskie;hrubieszowski;21;3,36;0;0;0;t0604
lubelskie;janowski;13;2,86;0;0;0;t0605
lubelskie;krasnostawski;42;6,67;3;0;3;t0606
lubelskie;kraœnicki;52;5,47;0;0;0;t0607
lubelskie;lubartowski;23;2,61;1;0;1;t0608
lubelskie;lubelski;97;6,22;2;0;2;t0609
lubelskie;³êczyñski;17;2,97;2;0;2;t0610
lubelskie;³ukowski;41;3,85;0;0;0;t0611
lubelskie;opolski;45;7,63;1;0;1;t0612
lubelskie;parczewski;28;8,09;2;0;2;t0613
lubelskie;pu³awski;75;6,65;1;0;1;t0614
lubelskie;radzyñski;13;2,22;0;0;0;t0615
lubelskie;rycki;20;3,58;1;1;0;t0616
lubelskie;œwidnicki;28;3,9;1;0;1;t0617
lubelskie;tomaszowski;17;2,06;2;0;2;t0618
lubelskie;w³odawski;11;2,88;0;0;0;t0619
lubelskie;zamojski;36;3,4;0;0;0;t0620
lubelskie;Bia³a Podlaska;43;7,52;2;1;1;t0661
lubelskie;Che³m;47;7,63;0;0;0;t0662
lubelskie;Lublin;221;6,51;5;1;4;t0663
lubelskie;Zamoœæ;38;6,01;0;0;0;t0664
lubuskie;gorzowski;65;9,02;0;0;0;t0801
lubuskie;kroœnieñski;67;12,25;0;0;0;t0802
lubuskie;miêdzyrzecki;34;5,93;0;0;0;t0803
lubuskie;nowosolski;15;1,74;1;1;0;t0804
lubuskie;s³ubicki;40;8,53;0;0;0;t0805
lubuskie;strzelecko-drezdenecki;14;2,87;0;0;0;t0806
lubuskie;sulêciñski;31;8,83;0;0;0;t0807
lubuskie;œwiebodziñski;33;5,93;2;0;2;t0808
lubuskie;zielonogórski;16;2,12;0;0;0;t0809
lubuskie;¿agañski;40;5,09;0;0;0;t0810
lubuskie;¿arski;42;4,38;0;0;0;t0811
lubuskie;wschowski;12;3,09;2;2;0;t0812
lubuskie;Gorzów Wielkopolski;61;4,95;2;0;2;t0861
lubuskie;Zielona Góra;38;2,69;0;0;0;t0862
³ódzkie;be³chatowski;40;3,55;0;0;0;t1001
³ódzkie;kutnowski;74;7,7;0;0;0;t1002
³ódzkie;³aski;7;1,41;2;1;1;t1003
³ódzkie;³êczycki;29;5,85;0;0;0;t1004
³ódzkie;³owicki;40;5,14;1;0;1;t1005
³ódzkie;³ódzki wschodni;51;7,04;0;0;0;t1006
³ódzkie;opoczyñski;15;1,98;0;0;0;t1007
³ódzkie;pabianicki;127;10,65;0;0;0;t1008
³ódzkie;pajêczañski;34;6,66;3;1;2;t1009
³ódzkie;piotrkowski;18;1,97;0;0;0;t1010
³ódzkie;poddêbicki;21;5,12;0;0;0;t1011
³ódzkie;radomszczañski;36;3,21;12;2;10;t1012
³ódzkie;rawski;15;3,09;1;0;1;t1013
³ódzkie;sieradzki;39;3,32;3;2;1;t1014
³ódzkie;skierniewicki;8;2,1;0;0;0;t1015
³ódzkie;tomaszowski;27;2,32;0;0;0;t1016
³ódzkie;wieluñski;17;2,23;0;0;0;t1017
³ódzkie;wieruszowski;6;1,43;3;0;3;t1018
³ódzkie;zduñskowolski;29;4,38;2;2;0;t1019
³ódzkie;zgierski;84;5,06;3;0;3;t1020
