Województwo;Powiat/Miasto;Liczba;Liczba na 10 tys. mieszkañców;Wszystkie przypadki œmiertelne;Przypadki œmiertelne w wyniku Covid;Przypadki œmiertelne w wyniku chorób wspó³istniej¹cych;id
Ca³y kraj;;10139;2,64;540;55;485;t0000
dolnoœl¹skie;boles³awiecki;62;6,89;2;0;2;t0201
dolnoœl¹skie;dzier¿oniowski;33;3,18;;;;t0202
dolnoœl¹skie;g³ogowski;19;2,14;1;0;1;t0203
dolnoœl¹skie;górowski;3;0,86;;;;t0204
dolnoœl¹skie;jaworski;30;6,01;1;0;1;t0205
dolnoœl¹skie;jeleniogórski;40;6,31;3;0;3;t0206
dolnoœl¹skie;kamiennogórski;19;4,65;;;;t0207
dolnoœl¹skie;k³odzki;21;1,34;4;0;4;t0208
dolnoœl¹skie;legnicki;28;5,07;2;1;1;t0209
dolnoœl¹skie;lubañski;18;3,33;4;0;4;t0210
dolnoœl¹skie;lubiñski;50;4,71;5;0;5;t0211
dolnoœl¹skie;lwówecki;17;3,71;;;;t0212
dolnoœl¹skie;milicki;4;1,08;;;;t0213
dolnoœl¹skie;oleœnicki;33;3,07;1;0;1;t0214
dolnoœl¹skie;o³awski;21;2,73;1;0;1;t0215
dolnoœl¹skie;polkowicki;9;1,43;;;;t0216
dolnoœl¹skie;strzeliñski;22;5,06;;;;t0217
dolnoœl¹skie;œredzki;22;3,97;1;0;1;t0218
dolnoœl¹skie;œwidnicki;49;3,13;;;;t0219
dolnoœl¹skie;trzebnicki;34;3,98;;;;t0220
dolnoœl¹skie;wa³brzyski;20;3,61;1;0;1;t0221
dolnoœl¹skie;wo³owski;6;1,28;1;0;1;t0222
dolnoœl¹skie;wroc³awski;48;3,12;;;;t0223
dolnoœl¹skie;z¹bkowicki;10;1,71;2;0;2;t0224
dolnoœl¹skie;zgorzelecki;43;4,84;;;;t0225
dolnoœl¹skie;z³otoryjski;22;5,08;;;;t0226
dolnoœl¹skie;Jelenia Góra;59;7,49;4;0;4;t0261
dolnoœl¹skie;Legnica;29;2,93;2;0;2;t0262
dolnoœl¹skie;Wroc³aw;213;3,32;14;0;14;t0264
dolnoœl¹skie;Wa³brzych;51;4,61;2;0;2;t0265
kujawsko-pomorskie;aleksandrowski;8;1,45;1;0;1;t0401
kujawsko-pomorskie;brodnicki;15;1,9;;;;t0402
kujawsko-pomorskie;bydgoski;33;2,76;2;0;2;t0403
kujawsko-pomorskie;che³miñski;15;2,89;;;;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;3;0,67;;;;t0405
kujawsko-pomorskie;grudzi¹dzki;12;2,98;;;;t0406
kujawsko-pomorskie;inowroc³awski;29;1,82;2;0;2;t0407
kujawsko-pomorskie;lipnowski;12;1,83;;;;t0408
kujawsko-pomorskie;mogileñski;2;0,44;;;;t0409
kujawsko-pomorskie;nakielski;29;3,36;;;;t0410
kujawsko-pomorskie;radziejowski;13;3,23;;;;t0411
kujawsko-pomorskie;rypiñski;5;1,15;;;;t0412
kujawsko-pomorskie;sêpoleñski;13;3,18;;;;t0413
kujawsko-pomorskie;œwiecki;15;1,52;;;;t0414
kujawsko-pomorskie;toruñski;14;1,29;1;0;1;t0415
kujawsko-pomorskie;tucholski;10;2,07;;;;t0416
kujawsko-pomorskie;w¹brzeski;2;0,59;;;;t0417
kujawsko-pomorskie;w³oc³awski;14;1,63;;;;t0418
kujawsko-pomorskie;¿niñski;13;2;;;;t0419
kujawsko-pomorskie;Bydgoszcz;162;4,67;9;0;9;t0461
kujawsko-pomorskie;Grudzi¹dz;33;3,51;;;;t0462
kujawsko-pomorskie;Toruñ;49;2,44;2;0;2;t0463
kujawsko-pomorskie;W³oc³awek;20;1,83;;;;t0464
lubelskie;bialski;37;3,35;3;1;2;t0601
lubelskie;bi³gorajski;17;1,69;;;;t0602
lubelskie;che³mski;36;4,5;;;;t0603
lubelskie;hrubieszowski;17;2,72;;;;t0604
lubelskie;janowski;9;1,98;;;;t0605
lubelskie;krasnostawski;6;0,95;;;;t0606
lubelskie;kraœnicki;48;5,05;;;;t0607
lubelskie;lubartowski;33;3,74;;;;t0608
lubelskie;lubelski;60;3,91;;;;t0609
lubelskie;³êczyñski;25;4,36;1;0;1;t0610
lubelskie;³ukowski;12;1,13;;;;t0611
lubelskie;opolski;21;3,56;1;0;1;t0612
lubelskie;parczewski;8;2,31;;;;t0613
lubelskie;pu³awski;28;2,48;;;;t0614
lubelskie;radzyñski;6;1,02;1;0;1;t0615
lubelskie;rycki;9;1,61;2;1;1;t0616
lubelskie;œwidnicki;22;3,07;;;;t0617
lubelskie;tomaszowski;6;0,73;;;;t0618
lubelskie;w³odawski;18;4,71;;;;t0619
lubelskie;zamojski;30;2,83;;;;t0620
lubelskie;Bia³a Podlaska;33;5,77;;;;t0661
lubelskie;Che³m;13;2,11;;;;t0662
lubelskie;Lublin;164;4,83;;;;t0663
lubelskie;Zamoœæ;12;1,9;;;;t0664
lubuskie;gorzowski;7;0,97;;;;t0801
lubuskie;kroœnieñski;19;3,47;;;;t0802
lubuskie;miêdzyrzecki;18;3,14;;;;t0803
lubuskie;nowosolski;28;3,26;1;1;0;t0804
lubuskie;s³ubicki;9;1,92;;;;t0805
lubuskie;strzelecko-drezdenecki;13;2,66;3;3;0;t0806
lubuskie;sulêciñski;6;1,71;;;;t0807
lubuskie;œwiebodziñski;8;1,44;2;0;2;t0808
lubuskie;zielonogórski;28;3,7;;;;t0809
lubuskie;¿agañski;25;3,18;;;;t0810
lubuskie;¿arski;23;2,51;3;1;2;t0811
lubuskie;wschowski;8;2,06;;;;t0812
lubuskie;Gorzów Wielkopolski;32;2,59;5;0;5;t0861
lubuskie;Zielona Góra;43;3,04;;;;t0862
³ódzkie;be³chatowski;16;1,42;;;;t1001
³ódzkie;kutnowski;16;1,66;2;0;2;t1002
³ódzkie;³aski;5;1;;;;t1003
³ódzkie;³êczycki;30;6,05;1;1;0;t1004
³ódzkie;³owicki;22;2,83;;;;t1005
³ódzkie;³ódzki wschodni;11;1,52;;;;t1006
³ódzkie;opoczyñski;14;1,85;;;;t1007
³ódzkie;pabianicki;25;2,1;;;;t1008
³ódzkie;pajêczañski;2;0,39;;;;t1009
³ódzkie;piotrkowski;26;2,85;3;0;3;t1010
³ódzkie;poddêbicki;7;1,71;;;;t1011
³ódzkie;radomszczañski;5;0,45;;;;t1012
³ódzkie;rawski;2;0,41;11;2;9;t1013
³ódzkie;sieradzki;30;2,56;;;;t1014
³ódzkie;skierniewicki;2;0,52;;;;t1015
³ódzkie;tomaszowski;26;2,15;;;;t1016
³ódzkie;wieluñski;8;1,05;14;2;12;t1017
³ódzkie;wieruszowski;1;0,24;3;2;1;t1018
³ódzkie;zduñskowolski;14;2,11;3;2;1;t1019
³ódzkie;zgierski;29;1,75;2;1;1;t1020
³ódzkie;brzeziñski;7;2,27;;;;t1021
³ódzkie;£ódŸ;233;3,44;;;;t1061
³ódzkie;Piotrków Trybunalski;22;3,02;;;;t1062
³ódzkie;Skierniewice;10;2,09;;;;t1063
ma³opolskie;bocheñski;7;0,65;2;0;2;t1201
ma³opolskie;brzeski;9;0,97;5;1;4;t1202
ma³opolskie;chrzanowski;14;1,13;1;1;0;t1203
ma³opolskie;d¹browski;10;1,69;8;0;8;t1204
ma³opolskie;gorlicki;20;1,93;;;;t1205
ma³opolskie;krakowski;61;2,18;2;2;0;t1206
ma³opolskie;limanowski;13;0,98;5;3;2;t1207
ma³opolskie;miechowski;5;1,03;2;0;2;t1208
ma³opolskie;myœlenicki;18;1,41;1;0;1;t1209
ma³opolskie;nowos¹decki;9;0,41;11;9;2;t1210
ma³opolskie;nowotarski;5;0,26;6;0;6;t1211
ma³opolskie;olkuski;18;1,71;2;0;2;t1212
ma³opolskie;oœwiêcimski;28;1,83;5;0;5;t1213
ma³opolskie;proszowicki;3;0,7;;;;t1214
ma³opolskie;suski;10;1,19;2;0;2;t1215
ma³opolskie;tarnowski;46;2,28;4;0;4;t1216
ma³opolskie;tatrzañski;2;0,29;;;;t1217
ma³opolskie;wadowicki;7;0,44;;;;t1218
ma³opolskie;wielicki;20;1,62;;;;t1219
ma³opolskie;Kraków;166;2,11;4;2;2;t1261
ma³opolskie;Nowy S¹cz;4;0,48;2;1;1;t1262
ma³opolskie;Tarnów;11;1,02;2;0;2;t1263
mazowieckie;bia³obrzeski;2;0,9;;;;t1401
mazowieckie;ciechanowski;20;2,24;1;0;1;t1402
mazowieckie;garwoliñski;17;1,56;;;;t1403
mazowieckie;gostyniñski;6;1,34;1;0;1;t1404
mazowieckie;grodziski;43;4,34;1;0;1;t1405
mazowieckie;grójecki;15;1,63;1;0;1;t1406
mazowieckie;kozienicki;13;2,17;1;0;1;t1407
mazowieckie;legionowski;26;2,18;;;;t1408
mazowieckie;lipski;3;0,89;1;0;1;t1409
mazowieckie;³osicki;9;2,28;;;;t1410
mazowieckie;makowski;3;0,67;;;;t1411
mazowieckie;miñski;32;2,07;;;;t1412
mazowieckie;m³awski;14;1,93;;;;t1413
mazowieckie;nowodworski;14;1,76;2;0;2;t1414
mazowieckie;ostro³êcki;20;2,26;;;;t1415
mazowieckie;ostrowski;11;1,53;;;;t1416
mazowieckie;otwocki;63;5,06;;;;t1417
mazowieckie;piaseczyñski;57;3,06;2;0;2;t1418
mazowieckie;p³ocki;20;1,89;4;0;4;t1419
mazowieckie;p³oñski;13;1,5;1;0;1;t1420
mazowieckie;pruszkowski;42;2,52;9;0;9;t1421
mazowieckie;przasnyski;5;0,96;2;0;2;t1422
mazowieckie;przysuski;4;0,97;1;0;1;t1423
mazowieckie;pu³tuski;10;1,93;1;0;1;t1424
mazowieckie;radomski;26;1,64;;;;t1425
mazowieckie;siedlecki;6;0,74;1;0;1;t1426
mazowieckie;sierpecki;5;0,97;;;;t1427
