Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;9105;2,37;449;68;381;t00
dolnoœl¹skie;717;2,47;57;8;49;t02
kujawsko-pomorskie;1214;5,87;40;6;34;t04
lubelskie;547;2,6;36;7;29;t06
lubuskie;187;1,85;4;2;2;t08
³ódzkie;615;2,51;21;6;15;t10
ma³opolskie;486;1,42;67;16;51;t12
mazowieckie;765;1,41;16;1;15;t14
opolskie;361;3,68;20;2;18;t16
podkarpackie;346;1,63;20;2;18;t18
podlaskie;216;1,84;5;0;5;t20
pomorskie;443;1,89;57;8;49;t22
œl¹skie;1084;2,4;39;4;35;t24
œwiêtokrzyskie;264;2,15;6;1;5;t26
warmiñsko-mazurskie;534;3,76;36;1;35;t28
wielkopolskie;796;2,27;17;4;13;t30
zachodniopomorskie;461;2,72;8;0;8;t32
