Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;3211;0,84;29;1;28;t00
dolnoœl¹skie;109;0,38;0;0;0;t02
kujawsko-pomorskie;302;1,46;6;0;6;t04
lubelskie;126;0,6;3;0;3;t06
lubuskie;49;0,49;0;0;0;t08
³ódzkie;199;0,81;0;0;0;t10
ma³opolskie;190;0,56;1;0;1;t12
mazowieckie;409;0,75;5;0;5;t14
opolskie;49;0,5;0;0;0;t16
podkarpackie;76;0,36;0;0;0;t18
podlaskie;70;0,59;1;1;0;t20
pomorskie;404;1,72;2;0;2;t22
œl¹skie;224;0,5;4;0;4;t24
œwiêtokrzyskie;55;0,45;0;0;0;t26
warmiñsko-mazurskie;136;0,96;0;0;0;t28
wielkopolskie;309;0,88;7;0;7;t30
zachodniopomorskie;282;1,67;0;0;0;t32
