Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;13239;3,45;531;110;421;t00
dolnoœl¹skie;828;2,86;42;6;36;t02
kujawsko-pomorskie;1081;5,22;12;6;6;t04
lubelskie;713;3,39;34;9;25;t06
lubuskie;482;4,77;15;1;14;t08
³ódzkie;915;3,74;48;13;35;t10
ma³opolskie;599;1,75;41;17;24;t12
mazowieckie;1643;3,03;85;9;76;t14
opolskie;449;4,58;14;2;12;t16
podkarpackie;324;1,52;29;7;22;t18
podlaskie;373;3,17;11;1;10;t20
pomorskie;813;3,46;20;6;14;t22
œl¹skie;1355;3,01;66;2;64;t24
œwiêtokrzyskie;252;2,05;19;4;15;t26
warmiñsko-mazurskie;964;6,79;27;7;20;t28
wielkopolskie;1380;3,94;40;19;21;t30
zachodniopomorskie;999;5,9;28;1;27;t32
