Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;9176;2,39;228;42;186;t00
dolnoœl¹skie;476;1,64;8;1;7;t02
kujawsko-pomorskie;718;3,47;11;3;8;t04
lubelskie;353;1,68;15;3;12;t06
lubuskie;325;3,22;0;0;0;t08
³ódzkie;561;2,29;7;0;7;t10
ma³opolskie;380;1,11;12;10;2;t12
mazowieckie;1170;2,16;23;2;21;t14
opolskie;307;3,13;8;1;7;t16
podkarpackie;184;0,87;14;1;13;t18
podlaskie;223;1,9;24;4;20;t20
pomorskie;874;3,72;19;4;15;t22
œl¹skie;908;2,01;23;4;19;t24
œwiêtokrzyskie;187;1,52;11;2;9;t26
warmiñsko-mazurskie;692;4,87;11;1;10;t28
wielkopolskie;1096;3,13;26;6;20;t30
zachodniopomorskie;674;3,98;16;0;16;t32
