wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;Ca³y kraj;7624;1,99;341;85;256;t0000
dolnoœl¹skie;boles³awiecki;27;3,00;2;0;2;t0201
dolnoœl¹skie;dzier¿oniowski;2;0,20;0;0;0;t0202
dolnoœl¹skie;g³ogowski;15;1,69;0;0;0;t0203
dolnoœl¹skie;górowski;14;4,03;0;0;0;t0204
dolnoœl¹skie;jaworski;0;0;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;8;1,26;4;1;3;t0206
dolnoœl¹skie;kamiennogórski;2;0,46;0;0;0;t0207
dolnoœl¹skie;k³odzki;10;0,64;3;1;2;t0208
dolnoœl¹skie;legnicki;30;5,43;1;1;0;t0209
dolnoœl¹skie;lubañski;13;2,40;1;1;0;t0210
dolnoœl¹skie;lubiñski;11;1,04;0;0;0;t0211
dolnoœl¹skie;lwówecki;4;0,87;1;0;1;t0212
dolnoœl¹skie;milicki;3;0,81;0;0;0;t0213
dolnoœl¹skie;oleœnicki;7;0,65;0;0;0;t0214
dolnoœl¹skie;o³awski;13;1,69;0;0;0;t0215
dolnoœl¹skie;polkowicki;3;0,48;0;0;0;t0216
dolnoœl¹skie;strzeliñski;19;4,37;0;0;0;t0217
dolnoœl¹skie;œredzki;4;0,72;0;0;0;t0218
dolnoœl¹skie;œwidnicki;14;0,89;3;0;3;t0219
dolnoœl¹skie;trzebnicki;14;1,64;1;0;1;t0220
dolnoœl¹skie;wa³brzyski;2;0,36;0;0;0;t0221
dolnoœl¹skie;wo³owski;20;4,28;0;0;0;t0222
dolnoœl¹skie;wroc³awski;31;2,01;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;5;0,78;0;0;0;t0224
dolnoœl¹skie;zgorzelecki;17;1,92;1;1;0;t0225
dolnoœl¹skie;z³otoryjski;2;0,46;1;1;0;t0226
dolnoœl¹skie;Jelenia Góra;19;2,41;0;0;0;t0261
dolnoœl¹skie;Legnica;6;0,61;3;3;0;t0262
dolnoœl¹skie;Wroc³aw;150;2,33;4;4;0;t0264
dolnoœl¹skie;Wa³brzych;16;1,45;0;0;0;t0265
kujawsko-pomorskie;aleksandrowski;9;1,64;0;0;0;t0401
kujawsko-pomorskie;brodnicki;16;2,02;1;0;1;t0402
kujawsko-pomorskie;bydgoski;108;9,04;3;0;3;t0403
kujawsko-pomorskie;che³miñski;22;4,25;0;0;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;3;0,67;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;20;4,97;0;0;0;t0406
