Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;12361;3,22;472;104;368;t00
dolnoœl¹skie;588;2,03;36;3;33;t02
kujawsko-pomorskie;1204;5,82;57;3;54;t04
lubelskie;569;2,71;25;6;19;t06
lubuskie;365;3,61;3;3;0;t08
³ódzkie;859;3,51;25;7;18;t10
ma³opolskie;528;1,55;18;11;7;t12
mazowieckie;1509;2,78;48;9;39;t14
opolskie;250;2,55;15;2;13;t16
podkarpackie;219;1,03;21;7;14;t18
podlaskie;326;2,77;7;3;4;t20
pomorskie;968;4,12;30;4;26;t22
œl¹skie;1269;2,81;44;10;34;t24
œwiêtokrzyskie;162;1,32;25;5;20;t26
warmiñsko-mazurskie;981;6,91;32;1;31;t28
wielkopolskie;1391;3,97;67;30;37;t30
zachodniopomorskie;989;5,84;19;0;19;t32
