wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;Ca³y kraj;9436;2,46;381;92;289;t0000
dolnoœl¹skie;boles³awiecki;21;2,33;1;0;1;t0201
dolnoœl¹skie;dzier¿oniowski;10;0,99;0;0;0;t0202
dolnoœl¹skie;g³ogowski;25;2,81;0;0;0;t0203
dolnoœl¹skie;górowski;2;0,58;2;0;2;t0204
dolnoœl¹skie;jaworski;15;3,00;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;9;1,42;1;0;1;t0206
dolnoœl¹skie;kamiennogórski;1;0,23;0;0;0;t0207
dolnoœl¹skie;k³odzki;17;1,08;0;0;0;t0208
dolnoœl¹skie;legnicki;7;1,27;0;0;0;t0209
dolnoœl¹skie;lubañski;8;1,48;0;0;0;t0210
dolnoœl¹skie;lubiñski;10;0,94;0;0;0;t0211
dolnoœl¹skie;lwówecki;3;0,66;0;0;0;t0212
dolnoœl¹skie;milicki;10;2,71;0;0;0;t0213
dolnoœl¹skie;oleœnicki;11;1,02;0;0;0;t0214
dolnoœl¹skie;o³awski;11;1,43;0;0;0;t0215
dolnoœl¹skie;polkowicki;5;0,79;1;0;1;t0216
dolnoœl¹skie;strzeliñski;8;1,84;0;0;0;t0217
dolnoœl¹skie;œredzki;2;0,36;0;0;0;t0218
dolnoœl¹skie;œwidnicki;33;2,11;1;0;1;t0219
dolnoœl¹skie;trzebnicki;12;1,41;1;0;1;t0220
dolnoœl¹skie;wa³brzyski;4;0,72;0;0;0;t0221
dolnoœl¹skie;wo³owski;7;1,50;1;0;1;t0222
dolnoœl¹skie;wroc³awski;40;2,60;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;11;1,71;0;0;0;t0224
dolnoœl¹skie;zgorzelecki;8;0,90;2;2;0;t0225
dolnoœl¹skie;z³otoryjski;6;1,39;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;9;1,14;0;0;0;t0261
dolnoœl¹skie;Legnica;10;1,01;4;4;0;t0262
dolnoœl¹skie;Wroc³aw;144;2,24;2;1;1;t0264
dolnoœl¹skie;Wa³brzych;4;0,36;0;0;0;t0265
kujawsko-pomorskie;aleksandrowski;13;2,36;0;0;0;t0401
kujawsko-pomorskie;brodnicki;21;2,65;1;0;1;t0402
kujawsko-pomorskie;bydgoski;66;5,53;6;0;6;t0403
kujawsko-pomorskie;che³miñski;31;5,98;1;0;1;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;22;4,89;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;19;4,73;3;3;0;t0406
kujawsko-pomorskie;inowroc³awski;47;2,95;2;1;1;t0407
kujawsko-pomorskie;lipnowski;10;1,52;1;0;1;t0408
kujawsko-pomorskie;mogileñski;28;6,15;0;0;0;t0409
kujawsko-pomorskie;nakielski;90;10,44;2;0;2;t0410
kujawsko-pomorskie;radziejowski;6;1,49;4;0;4;t0411
kujawsko-pomorskie;rypiñski;5;1,15;0;0;0;t0412
kujawsko-pomorskie;sêpoleñski;36;8,80;2;0;2;t0413
kujawsko-pomorskie;œwiecki;50;5,05;3;0;3;t0414
kujawsko-pomorskie;toruñski;37;3,40;0;0;0;t0415
kujawsko-pomorskie;tucholski;13;2,69;0;0;0;t0416
kujawsko-pomorskie;w¹brzeski;13;3,81;0;0;0;t0417
kujawsko-pomorskie;w³oc³awski;29;3,38;0;0;0;t0418
kujawsko-pomorskie;¿niñski;35;5,00;1;0;1;t0419
kujawsko-pomorskie;Bydgoszcz;263;7,58;8;1;7;t0461
kujawsko-pomorskie;Grudzi¹dz;49;5,21;5;4;1;t0462
kujawsko-pomorskie;Toruñ;79;3,93;3;0;3;t0463
kujawsko-pomorskie;W³oc³awek;31;2,84;2;0;2;t0464
lubelskie;bialski;19;1,72;1;0;1;t0601
lubelskie;bi³gorajski;12;1,19;1;1;0;t0602
lubelskie;che³mski;15;1,93;0;0;0;t0603
lubelskie;hrubieszowski;5;0,80;2;0;2;t0604
lubelskie;janowski;2;0,44;0;0;0;t0605
lubelskie;krasnostawski;24;3,81;0;0;0;t0606
lubelskie;kraœnicki;16;1,68;7;4;3;t0607
lubelskie;lubartowski;11;1,25;0;0;0;t0608
lubelskie;lubelski;41;2,63;2;0;2;t0609
lubelskie;³êczyñski;9;1,57;2;0;2;t0610
lubelskie;³ukowski;15;1,41;5;0;5;t0611
lubelskie;opolski;12;2,04;0;0;0;t0612
lubelskie;parczewski;5;1,45;0;0;0;t0613
lubelskie;pu³awski;41;3,63;0;0;0;t0614
lubelskie;radzyñski;6;1,02;1;0;1;t0615
lubelskie;rycki;11;1,97;0;0;0;t0616
lubelskie;œwidnicki;10;1,39;1;1;0;t0617
lubelskie;tomaszowski;7;0,85;1;0;1;t0618
lubelskie;w³odawski;11;2,88;2;2;0;t0619
lubelskie;zamojski;9;0,85;0;0;0;t0620
lubelskie;Bia³a Podlaska;5;0,87;1;0;1;t0661
lubelskie;Che³m;10;1,62;3;2;1;t0662
lubelskie;Lublin;96;2,83;8;0;8;t0663
lubelskie;Zamoœæ;11;1,74;1;0;1;t0664
lubuskie;gorzowski;28;3,89;2;2;0;t0801
lubuskie;kroœnieñski;26;4,75;0;0;0;t0802
lubuskie;miêdzyrzecki;12;2,09;0;0;0;t0803
lubuskie;nowosolski;26;3,02;1;1;0;t0804
lubuskie;s³ubicki;16;3,41;0;0;0;t0805
lubuskie;strzelecko-drezdenecki;28;5,73;0;0;0;t0806
lubuskie;sulêciñski;18;5,13;0;0;0;t0807
lubuskie;œwiebodziñski;21;3,77;1;0;1;t0808
lubuskie;zielonogórski;14;1,85;0;0;0;t0809
lubuskie;¿agañski;14;1,78;0;0;0;t0810
lubuskie;¿arski;18;1,88;4;2;2;t0811
lubuskie;wschowski;0;0;0;0;0;t0812
lubuskie;Gorzów Wielkopolski;30;2,43;0;0;0;t0861
lubuskie;Zielona Góra;37;2,62;0;0;0;t0862
³ódzkie;be³chatowski;8;0,71;2;0;2;t1001
³ódzkie;kutnowski;21;2,18;2;0;2;t1002
³ódzkie;³aski;6;1,20;0;0;0;t1003
³ódzkie;³êczycki;6;1,21;0;0;0;t1004
³ódzkie;³owicki;15;1,93;1;0;1;t1005
³ódzkie;³ódzki wschodni;21;2,90;1;0;1;t1006
³ódzkie;opoczyñski;16;2,11;1;1;0;t1007
³ódzkie;pabianicki;34;2,85;1;1;0;t1008
³ódzkie;pajêczañski;2;0,39;0;0;0;t1009
³ódzkie;piotrkowski;11;1,20;0;0;0;t1010
³ódzkie;poddêbicki;13;3,17;0;0;0;t1011
³ódzkie;radomszczañski;21;1,87;1;0;1;t1012
³ódzkie;rawski;5;1,03;0;0;0;t1013
³ódzkie;sieradzki;15;1,28;4;0;4;t1014
³ódzkie;skierniewicki;13;3,41;0;0;0;t1015
³ódzkie;tomaszowski;25;2,15;0;0;0;t1016
³ódzkie;wieluñski;15;1,97;3;1;2;t1017
³ódzkie;wieruszowski;10;2,38;0;0;0;t1018
³ódzkie;zduñskowolski;15;2,26;4;4;0;t1019
³ódzkie;zgierski;42;2,53;7;0;7;t1020
