wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;Ca³y kraj;12955.0;3,38;565.0;125.0;440.0;t0000
dolnoœl¹skie;boles³awiecki;32.0;3,55;;;;t0201
dolnoœl¹skie;dzier¿oniowski;13.0;1,29;2.0;;2.0;t0202
dolnoœl¹skie;g³ogowski;21.0;2,36;2.0;;2.0;t0203
dolnoœl¹skie;górowski;15.0;4,32;;;;t0204
dolnoœl¹skie;jaworski;11.0;2,20;;;;t0205
dolnoœl¹skie;jeleniogórski;11.0;1,74;;;;t0206
dolnoœl¹skie;kamiennogórski;4.0;0,93;;;;t0207
dolnoœl¹skie;k³odzki;18.0;1,15;1.0;;1.0;t0208
dolnoœl¹skie;legnicki;8.0;1,45;1.0;1.0;;t0209
dolnoœl¹skie;lubañski;21.0;3,88;;;;t0210
dolnoœl¹skie;lubiñski;54.0;5,09;3.0;;3.0;t0211
dolnoœl¹skie;lwówecki;16.0;3,50;1.0;1.0;;t0212
dolnoœl¹skie;milicki;13.0;3,52;;;;t0213
dolnoœl¹skie;oleœnicki;29.0;2,70;;;;t0214
dolnoœl¹skie;o³awski;10.0;1,30;2.0;1.0;1.0;t0215
dolnoœl¹skie;polkowicki;18.0;2,85;1.0;;1.0;t0216
dolnoœl¹skie;strzeliñski;12.0;2,76;3.0;2.0;1.0;t0217
dolnoœl¹skie;œredzki;14.0;2,53;;;;t0218
dolnoœl¹skie;œwidnicki;29.0;1,85;1.0;;1.0;t0219
dolnoœl¹skie;trzebnicki;9.0;1,05;1.0;;1.0;t0220
dolnoœl¹skie;wa³brzyski;21.0;3,79;2.0;;2.0;t0221
dolnoœl¹skie;wo³owski;9.0;1,93;;;;t0222
dolnoœl¹skie;wroc³awski;36.0;2,34;1.0;;1.0;t0223
dolnoœl¹skie;z¹bkowicki;10.0;1,55;;;;t0224
dolnoœl¹skie;zgorzelecki;41.0;4,62;2.0;2.0;;t0225
dolnoœl¹skie;z³otoryjski;7.0;1,62;1.0;1.0;;t0226
dolnoœl¹skie;Jelenia Góra;6.0;0,76;;;;t0261
dolnoœl¹skie;Legnica;19.0;1,92;3.0;3.0;;t0262
dolnoœl¹skie;Wroc³aw;145.0;2,25;5.0;;5.0;t0264
dolnoœl¹skie;Wa³brzych;22.0;1,99;;;;t0265
