wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;Ca³y kraj;13397;3,49;532;104;428;t0000
dolnoœl¹skie;boles³awiecki;36;4;1;0;1;t0201
dolnoœl¹skie;dzier¿oniowski;12;1,19;1;0;1;t0202
dolnoœl¹skie;g³ogowski;24;2,7;1;0;1;t0203
dolnoœl¹skie;górowski;14;4,03;0;0;0;t0204
dolnoœl¹skie;jaworski;16;3,2;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;26;4,1;2;1;1;t0206
dolnoœl¹skie;kamiennogórski;3;0,7;0;0;0;t0207
dolnoœl¹skie;k³odzki;27;1,72;0;0;0;t0208
dolnoœl¹skie;legnicki;9;1,63;0;0;0;t0209
dolnoœl¹skie;lubañski;33;6,1;0;0;0;t0210
dolnoœl¹skie;lubiñski;42;3,96;0;0;0;t0211
dolnoœl¹skie;lwówecki;10;2,18;0;0;0;t0212
dolnoœl¹skie;milicki;13;3,52;0;0;0;t0213
dolnoœl¹skie;oleœnicki;48;4,47;2;1;1;t0214
dolnoœl¹skie;o³awski;24;3,12;0;0;0;t0215
dolnoœl¹skie;polkowicki;5;0,79;1;1;0;t0216
dolnoœl¹skie;strzeliñski;1;0,23;4;2;2;t0217
dolnoœl¹skie;œredzki;8;1,45;0;0;0;t0218
dolnoœl¹skie;œwidnicki;43;2,75;2;0;2;t0219
dolnoœl¹skie;trzebnicki;22;2,58;0;0;0;t0220
dolnoœl¹skie;wa³brzyski;20;3,61;1;0;1;t0221
dolnoœl¹skie;wo³owski;15;3,21;0;0;0;t0222
dolnoœl¹skie;wroc³awski;39;2,53;1;0;1;t0223
dolnoœl¹skie;z¹bkowicki;24;3,72;1;0;1;t0224
dolnoœl¹skie;zgorzelecki;18;2,03;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;11;2,54;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;16;2,03;1;0;1;t0261
dolnoœl¹skie;Legnica;16;1,61;0;0;0;t0262
dolnoœl¹skie;Wroc³aw;201;3,12;3;0;3;t0264
dolnoœl¹skie;Wa³brzych;28;2,53;2;0;2;t0265
kujawsko-pomorskie;aleksandrowski;19;3,45;0;0;0;t0401
kujawsko-pomorskie;brodnicki;34;4,3;1;0;1;t0402
kujawsko-pomorskie;bydgoski;155;12,98;5;0;5;t0403
kujawsko-pomorskie;che³miñski;31;5,98;5;0;5;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;10;2,22;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;38;9,45;1;1;0;t0406
kujawsko-pomorskie;inowroc³awski;113;7,09;6;3;3;t0407
kujawsko-pomorskie;lipnowski;26;3,96;3;0;3;t0408
kujawsko-pomorskie;mogileñski;18;3,95;2;0;2;t0409
kujawsko-pomorskie;nakielski;67;7,77;0;0;0;t0410
kujawsko-pomorskie;radziejowski;28;6,96;0;0;0;t0411
kujawsko-pomorskie;rypiñski;6;1,38;2;0;2;t0412
kujawsko-pomorskie;sêpoleñski;40;9,77;1;0;1;t0413
kujawsko-pomorskie;œwiecki;49;4,95;0;0;0;t0414
kujawsko-pomorskie;toruñski;116;10,65;0;0;0;t0415
kujawsko-pomorskie;tucholski;31;6,41;1;0;1;t0416
kujawsko-pomorskie;w¹brzeski;22;6,45;0;0;0;t0417
kujawsko-pomorskie;w³oc³awski;44;5,12;1;0;1;t0418
kujawsko-pomorskie;¿niñski;53;7,56;2;0;2;t0419
kujawsko-pomorskie;Bydgoszcz;305;8,8;10;0;10;t0461
kujawsko-pomorskie;Grudzi¹dz;94;9,99;5;5;0;t0462
kujawsko-pomorskie;Toruñ;166;8,25;0;0;0;t0463
kujawsko-pomorskie;W³oc³awek;52;4,76;2;0;2;t0464
lubelskie;bialski;17;1,54;2;1;1;t0601
lubelskie;bi³gorajski;8;0,8;1;1;0;t0602
lubelskie;che³mski;15;1,93;1;0;1;t0603
lubelskie;hrubieszowski;20;3,2;0;0;0;t0604
lubelskie;janowski;5;1,1;0;0;0;t0605
lubelskie;krasnostawski;19;3,02;0;0;0;t0606
lubelskie;kraœnicki;23;2,42;0;0;0;t0607
lubelskie;lubartowski;9;1,02;0;0;0;t0608
lubelskie;lubelski;54;3,46;3;0;3;t0609
lubelskie;³êczyñski;22;3,84;1;0;1;t0610
lubelskie;³ukowski;17;1,59;1;0;1;t0611
lubelskie;opolski;25;4,24;0;0;0;t0612
lubelskie;parczewski;3;0,87;1;1;0;t0613
lubelskie;pu³awski;31;2,75;0;0;0;t0614
lubelskie;radzyñski;5;0,85;2;0;2;t0615
lubelskie;rycki;12;2,15;0;0;0;t0616
lubelskie;œwidnicki;37;5,16;0;0;0;t0617
lubelskie;tomaszowski;23;2,79;0;0;0;t0618
lubelskie;w³odawski;10;2,62;0;0;0;t0619
lubelskie;zamojski;9;0,85;0;0;0;t0620
lubelskie;Bia³a Podlaska;6;1,05;2;0;2;t0661
lubelskie;Che³m;28;4,55;1;0;1;t0662
lubelskie;Lublin;147;4,33;14;0;14;t0663
lubelskie;Zamoœæ;19;3,01;1;1;0;t0664
lubuskie;gorzowski;56;7,77;3;2;1;t0801
lubuskie;kroœnieñski;57;10,42;1;1;0;t0802
lubuskie;miêdzyrzecki;33;5,75;1;1;0;t0803
lubuskie;nowosolski;11;1,28;2;2;0;t0804
lubuskie;s³ubicki;28;5,97;0;0;0;t0805
lubuskie;strzelecko-drezdenecki;24;4,91;2;2;0;t0806
lubuskie;sulêciñski;16;4,56;0;0;0;t0807
lubuskie;œwiebodziñski;20;3,59;0;0;0;t0808
lubuskie;zielonogórski;28;3,7;1;1;0;t0809
lubuskie;¿agañski;14;1,78;0;0;0;t0810
lubuskie;¿arski;37;3,86;0;0;0;t0811
lubuskie;wschowski;6;1,55;0;0;0;t0812
lubuskie;Gorzów Wielkopolski;109;8,84;4;2;2;t0861
lubuskie;Zielona Góra;54;3,82;1;1;0;t0862
³ódzkie;be³chatowski;25;2,22;3;1;2;t1001
³ódzkie;kutnowski;12;1,25;0;0;0;t1002
³ódzkie;³aski;9;1,81;0;0;0;t1003
³ódzkie;³êczycki;16;3,23;1;1;0;t1004
³ódzkie;³owicki;13;1,67;1;0;1;t1005
³ódzkie;³ódzki wschodni;29;4,01;0;0;0;t1006
³ódzkie;opoczyñski;9;1,19;0;0;0;t1007
³ódzkie;pabianicki;74;6,21;0;0;0;t1008
³ódzkie;pajêczañski;2;0,39;0;0;0;t1009
³ódzkie;piotrkowski;16;1,75;0;0;0;t1010
³ódzkie;poddêbicki;2;0,49;2;0;2;t1011
³ódzkie;radomszczañski;13;1,16;2;0;2;t1012
³ódzkie;rawski;5;1,03;0;0;0;t1013
³ódzkie;sieradzki;21;1,79;3;0;3;t1014
³ódzkie;skierniewicki;5;1,31;0;0;0;t1015
³ódzkie;tomaszowski;13;1,12;0;0;0;t1016
³ódzkie;wieluñski;6;0,79;1;0;1;t1017
³ódzkie;wieruszowski;1;0,24;2;0;2;t1018
³ódzkie;zduñskowolski;11;1,66;2;0;2;t1019
³ódzkie;zgierski;37;2,23;6;0;6;t1020
³ódzkie;brzeziñski;7;2,27;0;0;0;t1021
³ódzkie;£ódŸ;364;5,37;0;0;0;t1061
³ódzkie;Piotrków Trybunalski;10;1,37;0;0;0;t1062
³ódzkie;Skierniewice;3;0,63;0;0;0;t1063
ma³opolskie;bocheñski;5;0,47;0;0;0;t1201
ma³opolskie;brzeski;8;0,86;0;0;0;t1202
ma³opolskie;chrzanowski;10;0,81;0;0;0;t1203
ma³opolskie;d¹browski;5;0,85;0;0;0;t1204
ma³opolskie;gorlicki;9;0,83;2;0;2;t1205
ma³opolskie;krakowski;29;1,03;3;3;0;t1206
ma³opolskie;limanowski;6;0,45;1;0;1;t1207
ma³opolskie;miechowski;6;1,23;1;1;0;t1208
ma³opolskie;myœlenicki;9;0,7;0;0;0;t1209
