Województwo;Powiat/Miasto;Liczba;Liczba na 10 tys. mieszkañców;Wszystkie przypadki œmiertelne;Przypadki œmiertelne w wyniku Covid;Przypadki œmiertelne w wyniku chorób wspó³istniej¹cych;id
Ca³y kraj;;8312;2,17;411;94;317;t0000
dolnoœl¹skie;boles³awiecki;51;5,66;0;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;6;0,6;4;0;4;t0202
dolnoœl¹skie;g³ogowski;16;1,8;1;0;1;t0203
dolnoœl¹skie;górowski;13;3,75;0;0;0;t0204
dolnoœl¹skie;jaworski;17;3,4;2;2;0;t0205
dolnoœl¹skie;jeleniogórski;7;1,1;2;1;1;t0206
dolnoœl¹skie;kamiennogórski;8;1,86;0;0;0;t0207
dolnoœl¹skie;k³odzki;11;0,7;9;0;9;t0208
dolnoœl¹skie;legnicki;11;1,99;0;0;0;t0209
dolnoœl¹skie;lubañski;24;4,44;1;1;0;t0210
dolnoœl¹skie;lubiñski;24;2,26;0;0;0;t0211
dolnoœl¹skie;lwówecki;17;3,71;0;0;0;t0212
dolnoœl¹skie;milicki;4;1,08;0;0;0;t0213
dolnoœl¹skie;oleœnicki;15;1,4;1;0;1;t0214
dolnoœl¹skie;o³awski;4;0,52;3;0;3;t0215
dolnoœl¹skie;polkowicki;10;1,59;0;0;0;t0216
dolnoœl¹skie;strzeliñski;8;1,84;1;1;0;t0217
dolnoœl¹skie;œredzki;12;2,17;1;0;1;t0218
dolnoœl¹skie;œwidnicki;28;1,79;2;0;2;t0219
dolnoœl¹skie;trzebnicki;9;1,05;1;0;1;t0220
dolnoœl¹skie;wa³brzyski;14;2,53;0;0;0;t0221
dolnoœl¹skie;wo³owski;4;0,86;1;0;1;t0222
dolnoœl¹skie;wroc³awski;22;1,43;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;1;0,16;1;1;0;t0224
dolnoœl¹skie;zgorzelecki;31;3,49;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;2;0,46;1;0;1;t0226
dolnoœl¹skie;Jelenia Góra;7;0,89;1;1;0;t0261
dolnoœl¹skie;Legnica;8;0,81;1;0;1;t0262
dolnoœl¹skie;Wroc³aw;142;2,21;3;0;3;t0264
dolnoœl¹skie;Wa³brzych;40;3,62;1;0;1;t0265
kujawsko-pomorskie;aleksandrowski;17;3,09;0;0;0;t0401
kujawsko-pomorskie;brodnicki;15;1,9;0;0;0;t0402
kujawsko-pomorskie;bydgoski;58;4,86;2;0;2;t0403
kujawsko-pomorskie;che³miñski;27;5,21;0;0;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;5;1,11;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;9;2,24;1;0;1;t0406
kujawsko-pomorskie;inowroc³awski;30;1,88;3;3;0;t0407
kujawsko-pomorskie;lipnowski;20;3,05;0;0;0;t0408
kujawsko-pomorskie;mogileñski;14;3,08;0;0;0;t0409
kujawsko-pomorskie;nakielski;38;4,41;2;2;0;t0410
kujawsko-pomorskie;radziejowski;8;1,99;1;1;0;t0411
kujawsko-pomorskie;rypiñski;2;0,46;0;0;0;t0412
kujawsko-pomorskie;sêpoleñski;15;3,67;0;0;0;t0413
kujawsko-pomorskie;œwiecki;12;1,21;0;0;0;t0414
