Województwo;Powiat/Miasto;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;;9105;2,37;449;68;381;t0000
dolnoœl¹skie;boles³awiecki;51;5,66;1;0;1;t0201
dolnoœl¹skie;dzier¿oniowski;14;1,39;4;0;4;t0202
dolnoœl¹skie;g³ogowski;19;2,14;4;0;4;t0203
dolnoœl¹skie;górowski;19;5,48;0;0;0;t0204
dolnoœl¹skie;jaworski;34;6,81;1;0;1;t0205
dolnoœl¹skie;jeleniogórski;1;0,16;5;2;3;t0206
dolnoœl¹skie;kamiennogórski;3;0,7;0;0;0;t0207
dolnoœl¹skie;k³odzki;15;0,95;2;0;2;t0208
dolnoœl¹skie;legnicki;15;2,72;3;0;3;t0209
dolnoœl¹skie;lubañski;7;1,29;0;0;0;t0210
dolnoœl¹skie;lubiñski;43;4,05;0;0;0;t0211
dolnoœl¹skie;lwówecki;14;3,06;2;0;2;t0212
dolnoœl¹skie;milicki;10;2,71;2;0;2;t0213
dolnoœl¹skie;oleœnicki;19;1,77;4;0;4;t0214
dolnoœl¹skie;o³awski;9;1,17;1;0;1;t0215
dolnoœl¹skie;polkowicki;12;1,9;0;0;0;t0216
dolnoœl¹skie;strzeliñski;7;1,61;1;1;0;t0217
dolnoœl¹skie;œredzki;35;6,32;2;0;2;t0218
dolnoœl¹skie;œwidnicki;62;3,96;2;0;2;t0219
dolnoœl¹skie;trzebnicki;13;1,52;2;0;2;t0220
dolnoœl¹skie;wa³brzyski;10;1,8;0;0;0;t0221
dolnoœl¹skie;wo³owski;7;1,5;0;0;0;t0222
dolnoœl¹skie;wroc³awski;45;2,92;2;0;2;t0223
dolnoœl¹skie;z¹bkowicki;9;1,4;1;0;1;t0224
dolnoœl¹skie;zgorzelecki;19;2,14;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;11;2,54;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;13;1,65;8;5;3;t0261
dolnoœl¹skie;Legnica;18;1,82;1;0;1;t0262
dolnoœl¹skie;Wroc³aw;164;2,55;7;0;7;t0264
dolnoœl¹skie;Wa³brzych;19;1,72;2;0;2;t0265
kujawsko-pomorskie;aleksandrowski;59;10,73;0;0;0;t0401
kujawsko-pomorskie;brodnicki;26;3,29;0;0;0;t0402
kujawsko-pomorskie;bydgoski;59;4,94;0;0;0;t0403
kujawsko-pomorskie;che³miñski;15;2,89;0;0;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;44;9,79;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;13;3,23;0;0;0;t0406
kujawsko-pomorskie;inowroc³awski;52;3,26;0;0;0;t0407
kujawsko-pomorskie;lipnowski;30;4,57;0;0;0;t0408
kujawsko-pomorskie;mogileñski;11;2,42;0;0;0;t0409
kujawsko-pomorskie;nakielski;55;6,38;0;0;0;t0410
kujawsko-pomorskie;radziejowski;59;14,67;0;0;0;t0411
kujawsko-pomorskie;rypiñski;9;2,07;0;0;0;t0412
kujawsko-pomorskie;sêpoleñski;31;7,58;2;0;2;t0413
kujawsko-pomorskie;œwiecki;59;5,96;23;0;23;t0414
kujawsko-pomorskie;toruñski;96;8,81;0;0;0;t0415
kujawsko-pomorskie;tucholski;45;9,31;14;6;8;t0416
kujawsko-pomorskie;w¹brzeski;12;3,52;0;0;0;t0417
kujawsko-pomorskie;w³oc³awski;37;4,31;0;0;0;t0418
kujawsko-pomorskie;¿niñski;33;4,71;0;0;0;t0419
kujawsko-pomorskie;Bydgoszcz;225;6,49;1;0;1;t0461
kujawsko-pomorskie;Grudzi¹dz;54;5,74;0;0;0;t0462
kujawsko-pomorskie;Toruñ;151;7,51;0;0;0;t0463
kujawsko-pomorskie;W³oc³awek;39;3,57;0;0;0;t0464
lubelskie;bialski;23;2,08;5;3;2;t0601
lubelskie;bi³gorajski;21;2,09;4;0;4;t0602
lubelskie;che³mski;29;3,73;3;2;1;t0603
lubelskie;hrubieszowski;5;0,8;1;0;1;t0604
lubelskie;janowski;8;1,76;0;0;0;t0605
lubelskie;krasnostawski;9;1,43;2;0;2;t0606
lubelskie;kraœnicki;29;3,05;2;0;2;t0607
lubelskie;lubartowski;18;2,04;2;0;2;t0608
lubelskie;lubelski;62;3,97;1;0;1;t0609
lubelskie;³êczyñski;12;2,09;1;0;1;t0610
lubelskie;³ukowski;8;0,75;2;0;2;t0611
lubelskie;opolski;11;1,87;0;0;0;t0612
lubelskie;parczewski;7;2,02;0;0;0;t0613
lubelskie;pu³awski;16;1,42;8;1;7;t0614
lubelskie;radzyñski;8;1,37;0;0;0;t0615
lubelskie;rycki;7;1,25;0;0;0;t0616
lubelskie;œwidnicki;51;7,11;0;0;0;t0617
lubelskie;tomaszowski;8;0,97;1;0;1;t0618
lubelskie;w³odawski;4;1,05;0;0;0;t0619
lubelskie;zamojski;6;0,57;0;0;0;t0620
lubelskie;Bia³a Podlaska;13;2,27;1;0;1;t0661
lubelskie;Che³m;21;3,41;1;0;1;t0662
lubelskie;Lublin;160;4,71;2;1;1;t0663
lubelskie;Zamoœæ;11;1,74;0;0;0;t0664
lubuskie;gorzowski;8;1,11;0;0;0;t0801
lubuskie;kroœnieñski;6;1,1;0;0;0;t0802
lubuskie;miêdzyrzecki;15;2,61;0;0;0;t0803
lubuskie;nowosolski;7;0,81;0;0;0;t0804
lubuskie;s³ubicki;6;1,28;1;1;0;t0805
lubuskie;strzelecko-drezdenecki;6;1,23;0;0;0;t0806
lubuskie;sulêciñski;8;2,28;0;0;0;t0807
lubuskie;œwiebodziñski;8;1,44;0;0;0;t0808
lubuskie;zielonogórski;19;2,51;0;0;0;t0809
lubuskie;¿agañski;21;2,67;1;0;1;t0810
lubuskie;¿arski;26;2,71;1;0;1;t0811
lubuskie;wschowski;12;3,09;0;0;0;t0812
lubuskie;Gorzów Wielkopolski;11;0,89;1;1;0;t0861
lubuskie;Zielona Góra;34;2,41;0;0;0;t0862
³ódzkie;be³chatowski;22;1,95;5;1;4;t1001
³ódzkie;kutnowski;23;2,39;0;0;0;t1002
³ódzkie;³aski;1;0,2;1;1;0;t1003
³ódzkie;³êczycki;19;3,83;0;0;0;t1004
³ódzkie;³owicki;17;2,18;0;0;0;t1005
³ódzkie;³ódzki wschodni;20;2,76;0;0;0;t1006
³ódzkie;opoczyñski;9;1,19;0;0;0;t1007
³ódzkie;pabianicki;21;1,76;2;0;2;t1008
³ódzkie;pajêczañski;3;0,59;1;0;1;t1009
³ódzkie;piotrkowski;24;2,63;0;0;0;t1010
³ódzkie;poddêbicki;10;2,44;2;1;1;t1011
³ódzkie;radomszczañski;7;0,62;2;1;1;t1012
³ódzkie;rawski;7;1,44;0;0;0;t1013
³ódzkie;sieradzki;46;3,92;5;1;4;t1014
³ódzkie;skierniewicki;9;2,36;0;0;0;t1015
³ódzkie;tomaszowski;8;0,69;0;0;0;t1016
³ódzkie;wieluñski;7;0,92;0;0;0;t1017
³ódzkie;wieruszowski;1;0,24;1;0;1;t1018
³ódzkie;zduñskowolski;4;0,6;2;1;1;t1019
³ódzkie;zgierski;113;6,8;0;0;0;t1020
³ódzkie;brzeziñski;6;1,95;0;0;0;t1021
