Województwo;Powiat/Miasto;Liczba przypadków;Liczba na 10 tys, mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;;11483;2,99;283;46;237;t0000
dolnoœl¹skie;boles³awiecki;1;0,11;0;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;34;3,38;0;0;0;t0202
dolnoœl¹skie;g³ogowski;34;3,83;2;0;2;t0203
dolnoœl¹skie;górowski;3;0,86;0;0;0;t0204
dolnoœl¹skie;jaworski;3;0,6;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;17;2,68;0;0;0;t0206
dolnoœl¹skie;kamiennogórski;23;5,34;0;0;0;t0207
dolnoœl¹skie;k³odzki;40;2,54;0;0;0;t0208
dolnoœl¹skie;legnicki;9;1,63;0;0;0;t0209
dolnoœl¹skie;lubañski;18;3,33;0;0;0;t0210
dolnoœl¹skie;lubiñski;8;0,75;0;0;0;t0211
dolnoœl¹skie;lwówecki;3;0,66;0;0;0;t0212
dolnoœl¹skie;milicki;6;1,63;0;0;0;t0213
dolnoœl¹skie;oleœnicki;38;3,54;3;0;3;t0214
dolnoœl¹skie;o³awski;29;3,77;0;0;0;t0215
dolnoœl¹skie;polkowicki;12;1,9;1;0;1;t0216
dolnoœl¹skie;strzeliñski;19;4,37;0;0;0;t0217
dolnoœl¹skie;œredzki;10;1,81;0;0;0;t0218
dolnoœl¹skie;œwidnicki;22;1,41;0;0;0;t0219
dolnoœl¹skie;trzebnicki;45;5,27;3;0;3;t0220
dolnoœl¹skie;wa³brzyski;25;4,51;0;0;0;t0221
dolnoœl¹skie;wo³owski;35;7,49;2;0;2;t0222
dolnoœl¹skie;wroc³awski;47;3,05;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;16;2,48;0;0;0;t0224
dolnoœl¹skie;zgorzelecki;4;0,45;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;13;3;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;30;3,81;0;0;0;t0261
dolnoœl¹skie;Legnica;20;2,02;0;0;0;t0262
dolnoœl¹skie;Wroc³aw;167;2,59;0;0;0;t0264
dolnoœl¹skie;Wa³brzych;50;4,52;0;0;0;t0265
kujawsko-pomorskie;aleksandrowski;8;1,45;0;0;0;t0401
kujawsko-pomorskie;brodnicki;12;1,52;0;0;0;t0402
kujawsko-pomorskie;bydgoski;51;4,27;0;0;0;t0403
kujawsko-pomorskie;che³miñski;21;4,05;1;0;1;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;0;0;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;17;4,23;0;0;0;t0406
kujawsko-pomorskie;inowroc³awski;85;5,34;0;0;0;t0407
kujawsko-pomorskie;lipnowski;8;1,22;0;0;0;t0408
kujawsko-pomorskie;mogileñski;17;3,74;0;0;0;t0409
kujawsko-pomorskie;nakielski;7;0,81;0;0;0;t0410
kujawsko-pomorskie;radziejowski;9;2,24;0;0;0;t0411
kujawsko-pomorskie;rypiñski;10;2,3;0;0;0;t0412
kujawsko-pomorskie;sêpoleñski;15;3,67;4;0;4;t0413
kujawsko-pomorskie;œwiecki;40;4,04;0;0;0;t0414
kujawsko-pomorskie;toruñski;21;1,93;0;0;0;t0415
kujawsko-pomorskie;tucholski;5;1,03;0;0;0;t0416
kujawsko-pomorskie;w¹brzeski;1;0,29;0;0;0;t0417
kujawsko-pomorskie;w³oc³awski;42;4,89;0;0;0;t0418
kujawsko-pomorskie;¿niñski;35;5;0;0;0;t0419
kujawsko-pomorskie;Bydgoszcz;122;3,52;0;0;0;t0461
kujawsko-pomorskie;Grudzi¹dz;23;2,44;2;0;2;t0462
kujawsko-pomorskie;Toruñ;46;2,29;7;1;6;t0463
kujawsko-pomorskie;W³oc³awek;28;2,56;0;0;0;t0464
lubelskie;bialski;48;4,35;8;3;5;t0601
lubelskie;bi³gorajski;16;1,59;0;0;0;t0602
lubelskie;che³mski;24;3,09;1;1;0;t0603
lubelskie;hrubieszowski;13;2,08;1;0;1;t0604
lubelskie;janowski;9;1,98;0;0;0;t0605
lubelskie;krasnostawski;31;4,93;0;0;0;t0606
lubelskie;kraœnicki;15;1,58;1;0;1;t0607
lubelskie;lubartowski;31;3,52;0;0;0;t0608
lubelskie;lubelski;59;3,78;0;0;0;t0609
lubelskie;³êczyñski;14;2,44;1;0;1;t0610
lubelskie;³ukowski;19;1,78;0;0;0;t0611
lubelskie;opolski;23;3,9;0;0;0;t0612
lubelskie;parczewski;6;1,73;1;0;1;t0613
lubelskie;pu³awski;40;3,54;0;0;0;t0614
lubelskie;radzyñski;7;1,19;1;0;1;t0615
lubelskie;rycki;10;1,79;0;0;0;t0616
lubelskie;œwidnicki;45;6,27;1;0;1;t0617
lubelskie;tomaszowski;2;0,24;0;0;0;t0618
lubelskie;w³odawski;18;4,71;0;0;0;t0619
lubelskie;zamojski;17;1,61;1;0;1;t0620
lubelskie;Bia³a Podlaska;28;4,9;2;0;2;t0661
lubelskie;Che³m;25;4,06;2;0;2;t0662
lubelskie;Lublin;99;2,92;3;0;3;t0663
lubelskie;Zamoœæ;17;2,69;2;0;2;t0664
lubuskie;gorzowski;39;5,41;1;0;1;t0801
lubuskie;kroœnieñski;20;3,66;0;0;0;t0802
lubuskie;miêdzyrzecki;21;3,66;0;0;0;t0803
lubuskie;nowosolski;19;2,21;1;1;0;t0804
lubuskie;s³ubicki;13;2,77;0;0;0;t0805
lubuskie;strzelecko-drezdenecki;10;2,05;0;0;0;t0806
lubuskie;sulêciñski;16;4,56;0;0;0;t0807
lubuskie;œwiebodziñski;13;2,33;0;0;0;t0808
lubuskie;zielonogórski;22;2,91;0;0;0;t0809
lubuskie;¿agañski;31;3,94;0;0;0;t0810
lubuskie;¿arski;27;2,82;0;0;0;t0811
lubuskie;wschowski;10;2,58;1;1;0;t0812
lubuskie;Gorzów Wielkopolski;84;6,81;3;1;2;t0861
lubuskie;Zielona Góra;48;3,4;0;0;0;t0862
³ódzkie;be³chatowski;45;3,99;0;0;0;t1001
³ódzkie;kutnowski;40;4,16;0;0;0;t1002
³ódzkie;³aski;11;2,21;0;0;0;t1003
³ódzkie;³êczycki;12;2,42;2;0;2;t1004
³ódzkie;³owicki;23;2,95;3;0;3;t1005
³ódzkie;³ódzki wschodni;22;3,04;0;0;0;t1006
³ódzkie;opoczyñski;3;0,4;0;0;0;t1007
³ódzkie;pabianicki;52;4,36;12;0;12;t1008
³ódzkie;pajêczañski;11;2,15;0;0;0;t1009
³ódzkie;piotrkowski;16;1,75;0;0;0;t1010
³ódzkie;poddêbicki;14;3,41;10;0;10;t1011
³ódzkie;radomszczañski;19;1,69;3;0;3;t1012
³ódzkie;rawski;11;2,27;0;0;0;t1013
³ódzkie;sieradzki;40;3,41;0;0;0;t1014
³ódzkie;skierniewicki;9;2,36;0;0;0;t1015
³ódzkie;tomaszowski;18;1,55;0;0;0;t1016
³ódzkie;wieluñski;16;2,1;1;1;0;t1017
³ódzkie;wieruszowski;16;3,8;0;0;0;t1018
³ódzkie;zduñskowolski;34;5,13;6;2;4;t1019
³ódzkie;zgierski;46;2,77;0;0;0;t1020
³ódzkie;brzeziñski;7;2,27;0;0;0;t1021
³ódzkie;£ódŸ;344;5,08;0;0;0;t1061
³ódzkie;Piotrków Trybunalski;18;2,47;0;0;0;t1062
³ódzkie;Skierniewice;11;2,29;0;0;0;t1063
ma³opolskie;bocheñski;15;1,4;0;0;0;t1201
ma³opolskie;brzeski;10;1,07;0;0;0;t1202
ma³opolskie;chrzanowski;15;1,21;0;0;0;t1203
ma³opolskie;d¹browski;6;1,01;0;0;0;t1204
ma³opolskie;gorlicki;18;1,65;0;0;0;t1205
ma³opolskie;krakowski;56;2;0;0;0;t1206
ma³opolskie;limanowski;4;0,3;0;0;0;t1207
ma³opolskie;miechowski;3;0,62;0;0;0;t1208
ma³opolskie;myœlenicki;22;1,72;0;0;0;t1209
ma³opolskie;nowos¹decki;13;0,6;0;0;0;t1210
ma³opolskie;nowotarski;2;0,1;0;0;0;t1211
ma³opolskie;olkuski;14;1,26;2;0;2;t1212
ma³opolskie;oœwiêcimski;7;0,46;0;0;0;t1213
ma³opolskie;proszowicki;6;1,39;0;0;0;t1214
ma³opolskie;suski;30;3,56;0;0;0;t1215
ma³opolskie;tarnowski;19;0,94;0;0;0;t1216
ma³opolskie;tatrzañski;9;1,32;0;0;0;t1217
ma³opolskie;wadowicki;14;0,88;0;0;0;t1218
ma³opolskie;wielicki;17;1,31;0;0;0;t1219
ma³opolskie;Kraków;126;1,61;7;7;0;t1261
ma³opolskie;Nowy S¹cz;15;1,79;0;0;0;t1262
ma³opolskie;Tarnów;19;1,76;0;0;0;t1263
mazowieckie;bia³obrzeski;3;0,9;0;0;0;t1401
mazowieckie;ciechanowski;25;2,8;4;0;4;t1402
