wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;Ca³y kraj;5569;1,45;326;93;233;t0000
dolnoœl¹skie;boles³awiecki;38;4,22;0;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;3;0,30;0;0;0;t0202
dolnoœl¹skie;g³ogowski;8;0,90;0;0;0;t0203
dolnoœl¹skie;górowski;2;0,58;1;0;1;t0204
dolnoœl¹skie;jaworski;2;0,40;1;1;0;t0205
dolnoœl¹skie;jeleniogórski;1;0,16;0;0;0;t0206
dolnoœl¹skie;kamiennogórski;0;0;3;3;0;t0207
dolnoœl¹skie;k³odzki;4;0,25;0;0;0;t0208
dolnoœl¹skie;legnicki;5;0,91;2;2;0;t0209
dolnoœl¹skie;lubañski;9;1,66;3;3;0;t0210
dolnoœl¹skie;lubiñski;11;1,04;0;0;0;t0211
dolnoœl¹skie;lwówecki;16;3,50;0;0;0;t0212
dolnoœl¹skie;milicki;1;0,27;0;0;0;t0213
dolnoœl¹skie;oleœnicki;18;1,68;0;0;0;t0214
dolnoœl¹skie;o³awski;5;0,65;0;0;0;t0215
dolnoœl¹skie;polkowicki;3;0,48;0;0;0;t0216
dolnoœl¹skie;strzeliñski;0;0;1;1;0;t0217
dolnoœl¹skie;œredzki;7;1,26;0;0;0;t0218
dolnoœl¹skie;œwidnicki;20;1,28;2;0;2;t0219
dolnoœl¹skie;trzebnicki;12;1,41;0;0;0;t0220
dolnoœl¹skie;wa³brzyski;5;0,90;2;0;2;t0221
dolnoœl¹skie;wo³owski;2;0,43;0;0;0;t0222
dolnoœl¹skie;wroc³awski;18;1,17;1;1;0;t0223
dolnoœl¹skie;z¹bkowicki;13;2,02;2;2;0;t0224
dolnoœl¹skie;zgorzelecki;10;1,13;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;1;0,23;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;9;1,14;1;0;1;t0261
dolnoœl¹skie;Legnica;4;0,40;3;3;0;t0262
dolnoœl¹skie;Wroc³aw;102;1,58;6;6;0;t0264
dolnoœl¹skie;Wa³brzych;10;0,90;5;0;5;t0265
kujawsko-pomorskie;aleksandrowski;2;0,36;0;0;0;t0401
kujawsko-pomorskie;brodnicki;7;0,88;0;0;0;t0402
kujawsko-pomorskie;bydgoski;46;3,85;3;0;3;t0403
kujawsko-pomorskie;che³miñski;14;2,70;0;0;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;8;1,78;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;11;2,74;0;0;0;t0406
kujawsko-pomorskie;inowroc³awski;23;1,44;2;0;2;t0407
kujawsko-pomorskie;lipnowski;9;1,37;2;0;2;t0408
kujawsko-pomorskie;mogileñski;25;5,49;1;0;1;t0409
kujawsko-pomorskie;nakielski;18;2,09;2;0;2;t0410
kujawsko-pomorskie;radziejowski;11;2,74;3;0;3;t0411
kujawsko-pomorskie;rypiñski;6;1,38;1;0;1;t0412
kujawsko-pomorskie;sêpoleñski;4;0,98;1;0;1;t0413
kujawsko-pomorskie;œwiecki;15;1,52;0;0;0;t0414
kujawsko-pomorskie;toruñski;30;2,75;0;0;0;t0415
kujawsko-pomorskie;tucholski;9;1,86;0;0;0;t0416
kujawsko-pomorskie;w¹brzeski;24;7,04;1;0;1;t0417
kujawsko-pomorskie;w³oc³awski;7;0,81;1;0;1;t0418
kujawsko-pomorskie;¿niñski;25;3,57;0;0;0;t0419
kujawsko-pomorskie;Bydgoszcz;136;3,92;3;0;3;t0461
kujawsko-pomorskie;Grudzi¹dz;30;3,19;0;0;0;t0462
kujawsko-pomorskie;Toruñ;51;2,54;3;0;3;t0463
kujawsko-pomorskie;W³oc³awek;15;1,37;2;0;2;t0464
lubelskie;bialski;9;0,81;0;0;0;t0601
lubelskie;bi³gorajski;6;0,60;3;0;3;t0602
lubelskie;che³mski;8;1,03;0;0;0;t0603
lubelskie;hrubieszowski;14;2,24;1;0;1;t0604
lubelskie;janowski;9;1,98;0;0;0;t0605
