Województwo;Powiat/Miasto;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;;8977;2,34;188;49;139;t0000
dolnoœl¹skie;boles³awiecki;29;3,22;0;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;10;0,99;0;0;0;t0202
dolnoœl¹skie;g³ogowski;12;1,35;0;0;0;t0203
dolnoœl¹skie;górowski;4;1,15;0;0;0;t0204
dolnoœl¹skie;jaworski;14;2,8;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;9;1,42;0;0;0;t0206
dolnoœl¹skie;kamiennogórski;10;2,32;0;0;0;t0207
dolnoœl¹skie;k³odzki;23;1,46;0;0;0;t0208
dolnoœl¹skie;legnicki;6;1,09;0;0;0;t0209
dolnoœl¹skie;lubañski;10;1,85;0;0;0;t0210
dolnoœl¹skie;lubiñski;5;0,47;0;0;0;t0211
dolnoœl¹skie;lwówecki;7;1,53;0;0;0;t0212
dolnoœl¹skie;milicki;4;1,08;0;0;0;t0213
dolnoœl¹skie;oleœnicki;8;0,75;0;0;0;t0214
dolnoœl¹skie;o³awski;21;2,73;0;0;0;t0215
dolnoœl¹skie;polkowicki;9;1,43;0;0;0;t0216
dolnoœl¹skie;strzeliñski;0;0;0;0;0;t0217
dolnoœl¹skie;œredzki;6;1,08;0;0;0;t0218
dolnoœl¹skie;œwidnicki;31;1,98;0;0;0;t0219
dolnoœl¹skie;trzebnicki;20;2,34;0;0;0;t0220
dolnoœl¹skie;wa³brzyski;14;2,53;0;0;0;t0221
dolnoœl¹skie;wo³owski;10;2,14;0;0;0;t0222
dolnoœl¹skie;wroc³awski;37;2,4;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;11;1,71;0;0;0;t0224
dolnoœl¹skie;zgorzelecki;9;1,01;1;1;0;t0225
dolnoœl¹skie;z³otoryjski;6;1,39;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;26;3,3;0;0;0;t0261
