wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;Ca³y kraj;7412;1,93;369;69;300;t0000
dolnoœl¹skie;boles³awiecki;12;1,33;0;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;14;1,39;0;0;0;t0202
dolnoœl¹skie;g³ogowski;13;1,46;2;0;2;t0203
dolnoœl¹skie;górowski;4;1,15;0;0;0;t0204
dolnoœl¹skie;jaworski;6;1,20;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;3;0,47;0;0;0;t0206
dolnoœl¹skie;kamiennogórski;0;0;0;0;0;t0207
dolnoœl¹skie;k³odzki;23;1,46;0;0;0;t0208
dolnoœl¹skie;legnicki;8;1,45;0;0;0;t0209
dolnoœl¹skie;lubañski;6;1,11;0;0;0;t0210
dolnoœl¹skie;lubiñski;7;0,66;2;0;2;t0211
dolnoœl¹skie;lwówecki;5;1,09;0;0;0;t0212
dolnoœl¹skie;milicki;2;0,54;0;0;0;t0213
dolnoœl¹skie;oleœnicki;11;1,02;1;1;0;t0214
dolnoœl¹skie;o³awski;5;0,65;1;0;1;t0215
dolnoœl¹skie;polkowicki;4;0,63;0;0;0;t0216
dolnoœl¹skie;strzeliñski;7;1,61;0;0;0;t0217
dolnoœl¹skie;œredzki;9;1,63;0;0;0;t0218
dolnoœl¹skie;œwidnicki;17;1,09;0;0;0;t0219
dolnoœl¹skie;trzebnicki;26;3,04;0;0;0;t0220
dolnoœl¹skie;wa³brzyski;3;0,54;0;0;0;t0221
dolnoœl¹skie;wo³owski;8;1,71;0;0;0;t0222
dolnoœl¹skie;wroc³awski;18;1,17;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;52;8,06;0;0;0;t0224
dolnoœl¹skie;zgorzelecki;3;0,34;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;0;0;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;1;0,13;1;1;0;t0261
dolnoœl¹skie;Legnica;12;1,21;0;0;0;t0262
dolnoœl¹skie;Wroc³aw;89;1,38;1;1;0;t0264
dolnoœl¹skie;Wa³brzych;10;0,90;1;0;1;t0265
kujawsko-pomorskie;aleksandrowski;5;0,91;1;0;1;t0401
kujawsko-pomorskie;brodnicki;16;2,02;2;0;2;t0402
kujawsko-pomorskie;bydgoski;52;4,35;1;0;1;t0403
kujawsko-pomorskie;che³miñski;31;5,98;0;0;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;17;3,78;1;0;1;t0405
