Województwo;Powiat/Miasto;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;;4896;1,28;96;40;56;t0000
dolnoœl¹skie;boles³awiecki;4;0,44;0;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;8;0,8;0;0;0;t0202
dolnoœl¹skie;g³ogowski;6;0,68;0;0;0;t0203
dolnoœl¹skie;górowski;0;0;0;0;0;t0204
dolnoœl¹skie;jaworski;2;0,4;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;3;0,47;0;0;0;t0206
dolnoœl¹skie;kamiennogórski;1;0,23;0;0;0;t0207
dolnoœl¹skie;k³odzki;12;0,76;0;0;0;t0208
dolnoœl¹skie;legnicki;1;0,18;0;0;0;t0209
dolnoœl¹skie;lubañski;1;0,18;0;0;0;t0210
dolnoœl¹skie;lubiñski;4;0,38;0;0;0;t0211
dolnoœl¹skie;lwówecki;2;0,44;0;0;0;t0212
dolnoœl¹skie;milicki;1;0,27;0;0;0;t0213
dolnoœl¹skie;oleœnicki;25;2,33;0;0;0;t0214
dolnoœl¹skie;o³awski;10;1,3;0;0;0;t0215
dolnoœl¹skie;polkowicki;1;0,16;0;0;0;t0216
dolnoœl¹skie;strzeliñski;3;0,69;0;0;0;t0217
dolnoœl¹skie;œredzki;1;0,18;0;0;0;t0218
dolnoœl¹skie;œwidnicki;6;0,38;0;0;0;t0219
dolnoœl¹skie;trzebnicki;8;0,94;0;0;0;t0220
dolnoœl¹skie;wa³brzyski;0;0;0;0;0;t0221
dolnoœl¹skie;wo³owski;11;2,35;0;0;0;t0222
dolnoœl¹skie;wroc³awski;22;1,43;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;4;0,62;0;0;0;t0224
dolnoœl¹skie;zgorzelecki;2;0,23;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;0;0;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;8;1,02;0;0;0;t0261
dolnoœl¹skie;Legnica;6;0,61;0;0;0;t0262
dolnoœl¹skie;Wroc³aw;97;1,51;0;0;0;t0264
dolnoœl¹skie;Wa³brzych;9;0,81;0;0;0;t0265
kujawsko-pomorskie;aleksandrowski;9;1,64;2;0;2;t0401
kujawsko-pomorskie;brodnicki;11;1,39;0;0;0;t0402
kujawsko-pomorskie;bydgoski;46;3,85;0;0;0;t0403
kujawsko-pomorskie;che³miñski;9;1,74;0;0;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;10;2,22;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;11;2,74;0;0;0;t0406
kujawsko-pomorskie;inowroc³awski;24;1,51;0;0;0;t0407
kujawsko-pomorskie;lipnowski;10;1,52;0;0;0;t0408
kujawsko-pomorskie;mogileñski;1;0,22;0;0;0;t0409
kujawsko-pomorskie;nakielski;15;1,74;0;0;0;t0410
kujawsko-pomorskie;radziejowski;8;1,99;0;0;0;t0411
kujawsko-pomorskie;rypiñski;2;0,46;5;1;4;t0412
kujawsko-pomorskie;sêpoleñski;19;4,64;0;0;0;t0413
kujawsko-pomorskie;œwiecki;18;1,82;0;0;0;t0414
kujawsko-pomorskie;toruñski;69;6,33;1;0;1;t0415
kujawsko-pomorskie;tucholski;10;2,07;0;0;0;t0416
kujawsko-pomorskie;w¹brzeski;0;0;0;0;0;t0417
kujawsko-pomorskie;w³oc³awski;9;1,05;0;0;0;t0418
kujawsko-pomorskie;¿niñski;14;2;1;0;1;t0419
kujawsko-pomorskie;Bydgoszcz;138;3,98;0;0;0;t0461
kujawsko-pomorskie;Grudzi¹dz;30;3,19;0;0;0;t0462
kujawsko-pomorskie;Toruñ;50;2,49;0;0;0;t0463
kujawsko-pomorskie;W³oc³awek;18;1,65;0;0;0;t0464
lubelskie;bialski;8;0,72;0;0;0;t0601
lubelskie;bi³gorajski;2;0,2;0;0;0;t0602
lubelskie;che³mski;11;1,41;0;0;0;t0603
lubelskie;hrubieszowski;2;0,32;0;0;0;t0604
lubelskie;janowski;6;1,32;0;0;0;t0605
lubelskie;krasnostawski;16;2,54;0;0;0;t0606
lubelskie;kraœnicki;7;0,74;1;0;1;t0607
lubelskie;lubartowski;5;0,57;0;0;0;t0608
lubelskie;lubelski;9;0,58;4;0;4;t0609
lubelskie;³êczyñski;3;0,52;0;0;0;t0610
lubelskie;³ukowski;0;0;0;0;0;t0611
lubelskie;opolski;2;0,34;0;0;0;t0612
lubelskie;parczewski;0;0;0;0;0;t0613
lubelskie;pu³awski;20;1,77;0;0;0;t0614
lubelskie;radzyñski;1;0,17;0;0;0;t0615
lubelskie;rycki;1;0,18;0;0;0;t0616
lubelskie;œwidnicki;8;1,12;0;0;0;t0617
lubelskie;tomaszowski;6;0,73;0;0;0;t0618
lubelskie;w³odawski;2;0,52;0;0;0;t0619
lubelskie;zamojski;2;0,19;0;0;0;t0620
lubelskie;Bia³a Podlaska;4;0,7;0;0;0;t0661
lubelskie;Che³m;9;1,46;0;0;0;t0662
lubelskie;Lublin;41;1,21;6;0;6;t0663
lubelskie;Zamoœæ;14;2,21;0;0;0;t0664
lubuskie;gorzowski;9;1,25;2;1;1;t0801
lubuskie;kroœnieñski;32;5,85;0;0;0;t0802
lubuskie;miêdzyrzecki;9;1,57;0;0;0;t0803
lubuskie;nowosolski;10;1,16;0;0;0;t0804
lubuskie;s³ubicki;9;1,92;0;0;0;t0805
lubuskie;strzelecko-drezdenecki;15;3,07;1;1;0;t0806
lubuskie;sulêciñski;15;4,27;0;0;0;t0807
lubuskie;œwiebodziñski;13;2,33;0;0;0;t0808
lubuskie;zielonogórski;13;1,72;0;0;0;t0809
lubuskie;¿agañski;4;0,51;0;0;0;t0810
lubuskie;¿arski;12;1,25;0;0;0;t0811
lubuskie;wschowski;5;1,29;0;0;0;t0812
lubuskie;Gorzów Wielkopolski;31;2,51;4;2;2;t0861
lubuskie;Zielona Góra;30;2,12;0;0;0;t0862
³ódzkie;be³chatowski;19;1,69;0;0;0;t1001
³ódzkie;kutnowski;17;1,77;0;0;0;t1002
³ódzkie;³aski;1;0,2;0;0;0;t1003
³ódzkie;³êczycki;2;0,4;0;0;0;t1004
³ódzkie;³owicki;6;0,77;0;0;0;t1005
³ódzkie;³ódzki wschodni;7;0,97;0;0;0;t1006
³ódzkie;opoczyñski;3;0,4;0;0;0;t1007
³ódzkie;pabianicki;6;0,5;0;0;0;t1008
³ódzkie;pajêczañski;3;0,59;0;0;0;t1009
³ódzkie;piotrkowski;1;0,11;0;0;0;t1010
³ódzkie;poddêbicki;5;1,22;0;0;0;t1011
³ódzkie;radomszczañski;2;0,18;0;0;0;t1012
³ódzkie;rawski;3;0,62;0;0;0;t1013
³ódzkie;sieradzki;10;0,85;0;0;0;t1014
³ódzkie;skierniewicki;3;0,79;0;0;0;t1015
³ódzkie;tomaszowski;8;0,69;0;0;0;t1016
³ódzkie;wieluñski;5;0,66;0;0;0;t1017
³ódzkie;wieruszowski;4;0,95;0;0;0;t1018
³ódzkie;zduñskowolski;3;0,45;0;0;0;t1019
³ódzkie;zgierski;17;1,02;0;0;0;t1020
³ódzkie;brzeziñski;1;0,32;0;0;0;t1021
³ódzkie;£ódŸ;62;0,92;0;0;0;t1061
³ódzkie;Piotrków Trybunalski;2;0,27;0;0;0;t1062
³ódzkie;Skierniewice;0;0;0;0;0;t1063
ma³opolskie;bocheñski;4;0,37;0;0;0;t1201
ma³opolskie;brzeski;7;0,75;0;0;0;t1202
ma³opolskie;chrzanowski;3;0,24;0;0;0;t1203
ma³opolskie;d¹browski;0;0;0;0;0;t1204
ma³opolskie;gorlicki;3;0,28;0;0;0;t1205
ma³opolskie;krakowski;17;0,61;0;0;0;t1206
ma³opolskie;limanowski;3;0,23;0;0;0;t1207
ma³opolskie;miechowski;0;0;0;0;0;t1208
ma³opolskie;myœlenicki;4;0,31;0;0;0;t1209
ma³opolskie;nowos¹decki;4;0,18;0;0;0;t1210
ma³opolskie;nowotarski;4;0,21;0;0;0;t1211
ma³opolskie;olkuski;3;0,27;0;0;0;t1212
ma³opolskie;oœwiêcimski;9;0,59;0;0;0;t1213
ma³opolskie;proszowicki;0;0;0;0;0;t1214
ma³opolskie;suski;4;0,48;0;0;0;t1215
ma³opolskie;tarnowski;5;0,25;0;0;0;t1216
ma³opolskie;tatrzañski;0;0;0;0;0;t1217
ma³opolskie;wadowicki;4;0,25;0;0;0;t1218
ma³opolskie;wielicki;6;0,46;0;0;0;t1219
ma³opolskie;Kraków;60;0,77;0;0;0;t1261
ma³opolskie;Nowy S¹cz;0;0;0;0;0;t1262
ma³opolskie;Tarnów;3;0,28;0;0;0;t1263
mazowieckie;bia³obrzeski;6;1,8;0;0;0;t1401
mazowieckie;ciechanowski;3;0,34;0;0;0;t1402
mazowieckie;garwoliñski;1;0,09;0;0;0;t1403
mazowieckie;gostyniñski;4;0,89;0;0;0;t1404
mazowieckie;grodziski;7;0,72;1;1;0;t1405
mazowieckie;grójecki;19;1,94;0;0;0;t1406
mazowieckie;kozienicki;7;1,17;0;0;0;t1407
mazowieckie;legionowski;10;0,84;0;0;0;t1408
mazowieckie;lipski;3;0,89;0;0;0;t1409
mazowieckie;³osicki;0;0;0;0;0;t1410
mazowieckie;makowski;4;0,9;0;0;0;t1411
mazowieckie;miñski;23;1,48;0;0;0;t1412
mazowieckie;m³awski;2;0,28;0;0;0;t1413
mazowieckie;nowodworski;4;0,5;0;0;0;t1414
mazowieckie;ostro³êcki;4;0,45;0;0;0;t1415
mazowieckie;ostrowski;1;0,14;1;0;1;t1416
mazowieckie;otwocki;38;3,05;0;0;0;t1417
mazowieckie;piaseczyñski;86;4,54;0;0;0;t1418
mazowieckie;p³ocki;12;1,08;0;0;0;t1419
mazowieckie;p³oñski;17;1,96;0;0;0;t1420
mazowieckie;pruszkowski;9;0,54;2;2;0;t1421
mazowieckie;przasnyski;4;0,76;0;0;0;t1422
mazowieckie;przysuski;9;2,18;0;0;0;t1423
mazowieckie;pu³tuski;4;0,77;0;0;0;t1424
mazowieckie;radomski;17;1,12;0;0;0;t1425
mazowieckie;siedlecki;3;0,37;0;0;0;t1426
mazowieckie;sierpecki;3;0,58;0;0;0;t1427
mazowieckie;sochaczewski;4;0,47;0;0;0;t1428
mazowieckie;soko³owski;1;0,19;0;0;0;t1429
mazowieckie;szyd³owiecki;5;1,26;0;0;0;t1430
mazowieckie;warszawski zachodni;13;1,09;0;0;0;t1432
mazowieckie;wêgrowski;16;2,44;1;0;1;t1433
mazowieckie;wo³omiñski;44;1,75;0;0;0;t1434
mazowieckie;wyszkowski;5;0,67;0;0;0;t1435
