Województwo;Liczba;Liczba na 10 tys. mieszkañców;Wszystkie przypadki œmiertelne;Przypadki œmiertelne w wyniku Covid;Przypadki œmiertelne w wyniku chorób wspó³istniej¹cych;id
Ca³y kraj;8312;2,17;411;94;317;t00
dolnoœl¹skie;566;1,95;37;7;30;t02
kujawsko-pomorskie;690;3,33;19;7;12;t04
lubelskie;416;1,98;17;5;12;t06
lubuskie;174;1,72;15;2;13;t08
³ódzkie;563;2,3;35;11;24;t10
ma³opolskie;1072;3,14;50;18;32;t12
mazowieckie;960;1,77;38;18;20;t14
opolskie;140;1,43;18;2;16;t16
podkarpackie;204;0,96;21;5;16;t18
podlaskie;193;1,64;2;0;2;t20
pomorskie;515;2,19;23;4;19;t22
œl¹skie;852;1,89;64;6;58;t24
œwiêtokrzyskie;182;1,48;8;0;8;t26
warmiñsko-mazurskie;528;3,72;27;0;27;t28
wielkopolskie;580;1,66;21;7;14;t30
zachodniopomorskie;486;2,87;16;2;14;t32
