Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;13855;3,61;609;89;520;t00
dolnoœl¹skie;844;2,91;54;8;46;t02
kujawsko-pomorskie;1240;5,99;32;2;30;t04
lubelskie;759;3,61;49;7;42;t06
lubuskie;387;3,83;8;1;7;t08
³ódzkie;1013;4,14;31;8;23;t10
ma³opolskie;823;2,41;42;15;27;t12
mazowieckie;1626;3;71;1;70;t14
opolskie;257;2,62;39;2;37;t16
podkarpackie;518;2,44;31;6;25;t18
podlaskie;393;3,34;5;0;5;t20
pomorskie;1060;4,52;46;13;33;t22
œl¹skie;1494;3,31;65;6;59;t24
œwiêtokrzyskie;276;2,24;25;3;22;t26
warmiñsko-mazurskie;785;5,53;31;0;31;t28
wielkopolskie;1577;4,51;56;17;39;t30
zachodniopomorskie;751;4,44;24;0;24;t32
