Województwo;Powiat/Miasto;Liczba;Liczba na 10 tys. mieszkañców;Wszystkie przypadki œmiertelne;Przypadki œmiertelne w wyniku Covid;Przypadki œmiertelne w wyniku chorób wspó³istniej¹cych;id
Ca³y kraj;;17060;4,45;579;112;467;t0000
dolnoœl¹skie;boles³awiecki;45;5;1;0;1;t0201
dolnoœl¹skie;dzier¿oniowski;52;5,17;0;0;0;t0202
dolnoœl¹skie;g³ogowski;47;5,29;1;1;0;t0203
dolnoœl¹skie;górowski;48;13,83;0;0;0;t0204
dolnoœl¹skie;jaworski;8;1,6;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;21;3,31;1;0;1;t0206
dolnoœl¹skie;kamiennogórski;25;5,81;0;0;0;t0207
dolnoœl¹skie;k³odzki;62;3,94;26;0;26;t0208
dolnoœl¹skie;legnicki;46;8,33;0;0;0;t0209
dolnoœl¹skie;lubañski;15;2,77;3;3;0;t0210
dolnoœl¹skie;lubiñski;77;7,26;3;0;3;t0211
dolnoœl¹skie;lwówecki;2;0,44;0;0;0;t0212
dolnoœl¹skie;milicki;22;5,96;0;0;0;t0213
dolnoœl¹skie;oleœnicki;32;2,98;0;0;0;t0214
dolnoœl¹skie;o³awski;53;6,9;2;0;2;t0215
dolnoœl¹skie;polkowicki;17;2,69;0;0;0;t0216
dolnoœl¹skie;strzeliñski;4;0,92;1;1;0;t0217
dolnoœl¹skie;œredzki;19;3,43;1;0;1;t0218
dolnoœl¹skie;œwidnicki;42;2,68;1;0;1;t0219
dolnoœl¹skie;trzebnicki;37;4,33;0;0;0;t0220
dolnoœl¹skie;wa³brzyski;18;3,25;0;0;0;t0221
dolnoœl¹skie;wo³owski;26;5,56;0;0;0;t0222
dolnoœl¹skie;wroc³awski;76;4,94;3;0;3;t0223
dolnoœl¹skie;z¹bkowicki;31;4,81;3;0;3;t0224
dolnoœl¹skie;zgorzelecki;81;9,12;5;5;0;t0225
dolnoœl¹skie;z³otoryjski;10;2,31;2;0;2;t0226
dolnoœl¹skie;Jelenia Góra;22;2,79;0;0;0;t0261
dolnoœl¹skie;Legnica;37;3,73;2;2;0;t0262
dolnoœl¹skie;Wroc³aw;297;4,61;7;0;7;t0264
dolnoœl¹skie;Wa³brzych;46;4,16;3;0;3;t0265
kujawsko-pomorskie;aleksandrowski;37;6,73;0;0;0;t0401
kujawsko-pomorskie;brodnicki;52;6,57;0;0;0;t0402
kujawsko-pomorskie;bydgoski;70;5,86;0;0;0;t0403
kujawsko-pomorskie;che³miñski;23;4,44;3;0;3;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;37;8,23;3;0;3;t0405
kujawsko-pomorskie;grudzi¹dzki;20;4,97;0;0;0;t0406
kujawsko-pomorskie;inowroc³awski;115;7,22;3;0;3;t0407
kujawsko-pomorskie;lipnowski;34;5,18;0;0;0;t0408
kujawsko-pomorskie;mogileñski;36;7,91;0;0;0;t0409
kujawsko-pomorskie;nakielski;58;6,73;0;0;0;t0410
kujawsko-pomorskie;radziejowski;31;7,71;2;0;2;t0411
kujawsko-pomorskie;rypiñski;10;2,3;0;0;0;t0412
kujawsko-pomorskie;sêpoleñski;32;7,82;0;0;0;t0413
kujawsko-pomorskie;œwiecki;91;9,2;8;0;8;t0414
kujawsko-pomorskie;toruñski;79;7,25;0;0;0;t0415
kujawsko-pomorskie;tucholski;18;3,72;0;0;0;t0416
kujawsko-pomorskie;w¹brzeski;25;7,33;0;0;0;t0417
kujawsko-pomorskie;w³oc³awski;40;4,66;2;0;2;t0418
kujawsko-pomorskie;¿niñski;71;10,13;3;0;3;t0419
kujawsko-pomorskie;Bydgoszcz;205;5,91;2;0;2;t0461
kujawsko-pomorskie;Grudzi¹dz;58;6,17;1;0;1;t0462
kujawsko-pomorskie;Toruñ;153;7,61;3;0;3;t0463
kujawsko-pomorskie;W³oc³awek;73;6,68;0;0;0;t0464
lubelskie;bialski;46;4,16;7;3;4;t0601
lubelskie;bi³gorajski;25;2,48;0;0;0;t0602
lubelskie;che³mski;16;2,06;2;1;1;t0603
lubelskie;hrubieszowski;13;2,08;3;0;3;t0604
lubelskie;janowski;12;2,64;2;0;2;t0605
lubelskie;krasnostawski;25;3,97;0;0;0;t0606
lubelskie;kraœnicki;25;2,63;1;0;1;t0607
lubelskie;lubartowski;40;4,54;3;2;1;t0608
lubelskie;lubelski;76;4,87;0;0;0;t0609
lubelskie;³êczyñski;25;4,36;0;0;0;t0610
lubelskie;³ukowski;17;1,59;2;0;2;t0611
lubelskie;opolski;29;4,92;1;0;1;t0612
lubelskie;parczewski;14;4,05;2;0;2;t0613
lubelskie;pu³awski;38;3,37;0;0;0;t0614
lubelskie;radzyñski;13;2,22;1;1;0;t0615
lubelskie;rycki;18;3,22;0;0;0;t0616
lubelskie;œwidnicki;62;8,64;1;0;1;t0617
lubelskie;tomaszowski;6;0,73;2;0;2;t0618
lubelskie;w³odawski;19;4,97;3;1;2;t0619
lubelskie;zamojski;26;2,46;2;0;2;t0620
lubelskie;Bia³a Podlaska;29;5,07;2;1;1;t0661
lubelskie;Che³m;13;2,11;1;1;0;t0662
lubelskie;Lublin;189;5,57;1;0;1;t0663
lubelskie;Zamoœæ;26;4,11;1;1;0;t0664
lubuskie;gorzowski;29;4,02;4;4;0;t0801
lubuskie;kroœnieñski;37;6,76;1;1;0;t0802
lubuskie;miêdzyrzecki;26;4,53;6;0;6;t0803
lubuskie;nowosolski;47;5,46;1;1;0;t0804
lubuskie;s³ubicki;26;5,54;1;0;1;t0805
lubuskie;strzelecko-drezdenecki;9;1,84;0;0;0;t0806
lubuskie;sulêciñski;6;1,71;1;0;1;t0807
lubuskie;œwiebodziñski;22;3,95;1;0;1;t0808
lubuskie;zielonogórski;55;7,27;1;0;1;t0809
lubuskie;¿agañski;55;6,99;3;0;3;t0810
lubuskie;¿arski;36;3,76;2;0;2;t0811
lubuskie;wschowski;15;3,87;0;0;0;t0812
lubuskie;Gorzów Wielkopolski;36;2,92;0;0;0;t0861
lubuskie;Zielona Góra;95;6,72;6;0;6;t0862
³ódzkie;be³chatowski;39;3,46;0;0;0;t1001
³ódzkie;kutnowski;23;2,39;0;0;0;t1002
