Województwo;Powiat/Miasto;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;;3678;0,96;57;6;51;t0000
dolnoœl¹skie;boles³awiecki;6;0,67;0;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;0;0;0;0;0;t0202
dolnoœl¹skie;g³ogowski;3;0,34;0;0;0;t0203
dolnoœl¹skie;górowski;0;0;0;0;0;t0204
dolnoœl¹skie;jaworski;1;0,2;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;18;2,84;0;0;0;t0206
dolnoœl¹skie;kamiennogórski;7;1,63;0;0;0;t0207
dolnoœl¹skie;k³odzki;1;0,06;0;0;0;t0208
dolnoœl¹skie;legnicki;2;0,36;0;0;0;t0209
dolnoœl¹skie;lubañski;3;0,55;0;0;0;t0210
dolnoœl¹skie;lubiñski;3;0,28;0;0;0;t0211
dolnoœl¹skie;lwówecki;2;0,44;0;0;0;t0212
dolnoœl¹skie;milicki;0;0;0;0;0;t0213
dolnoœl¹skie;oleœnicki;7;0,65;0;0;0;t0214
dolnoœl¹skie;o³awski;3;0,39;0;0;0;t0215
dolnoœl¹skie;polkowicki;2;0,32;0;0;0;t0216
dolnoœl¹skie;strzeliñski;4;0,92;0;0;0;t0217
dolnoœl¹skie;œredzki;10;1,81;0;0;0;t0218
dolnoœl¹skie;œwidnicki;12;0,77;0;0;0;t0219
dolnoœl¹skie;trzebnicki;2;0,23;0;0;0;t0220
dolnoœl¹skie;wa³brzyski;5;0,9;0;0;0;t0221
dolnoœl¹skie;wo³owski;4;0,86;0;0;0;t0222
dolnoœl¹skie;wroc³awski;5;0,32;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;3;0,47;0;0;0;t0224
dolnoœl¹skie;zgorzelecki;0;0;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;0;0;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;4;0,51;0;0;0;t0261
dolnoœl¹skie;Legnica;5;0,5;0;0;0;t0262
dolnoœl¹skie;Wroc³aw;35;0,54;0;0;0;t0264
dolnoœl¹skie;Wa³brzych;6;0,54;0;0;0;t0265
kujawsko-pomorskie;aleksandrowski;14;2,55;0;0;0;t0401
kujawsko-pomorskie;brodnicki;8;1,01;0;0;0;t0402
kujawsko-pomorskie;bydgoski;23;1,93;0;0;0;t0403
kujawsko-pomorskie;che³miñski;1;0,19;0;0;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;3;0,67;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;6;1,49;0;0;0;t0406
