Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;8977;2,34;188;49;139;t00
dolnoœl¹skie;498;1,72;1;1;0;t02
kujawsko-pomorskie;756;3,65;18;4;14;t04
lubelskie;378;1,8;14;1;13;t06
lubuskie;300;2,97;0;0;0;t08
³ódzkie;572;2,34;1;0;1;t10
ma³opolskie;310;0,91;19;2;17;t12
mazowieckie;1280;2,36;24;14;10;t14
opolskie;133;1,36;0;0;0;t16
podkarpackie;204;0,96;5;3;2;t18
podlaskie;231;1,96;8;2;6;t20
pomorskie;1003;4,27;3;0;3;t22
œl¹skie;668;1,48;17;3;14;t24
œwiêtokrzyskie;132;1,07;1;0;1;t26
warmiñsko-mazurskie;646;4,55;30;6;24;t28
wielkopolskie;1132;3,23;31;12;19;t30
zachodniopomorskie;593;3,5;16;1;15;t32
