Województwo;Liczba przypadków;Liczba na 10 tys, mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;5733;1,49;121;21;100;t00
dolnoœl¹skie;445;1,54;5;2;3;t02
kujawsko-pomorskie;297;1,44;4;0;4;t04
lubelskie;285;1,35;13;1;12;t06
lubuskie;259;2,56;0;0;0;t08
³ódzkie;375;1,53;10;7;3;t10
ma³opolskie;280;0,82;2;0;2;t12
mazowieckie;659;1,21;15;0;15;t14
opolskie;198;2,02;0;0;0;t16
podkarpackie;201;0,95;7;1;6;t18
podlaskie;118;1;2;0;2;t20
pomorskie;441;1,88;3;1;2;t22
œl¹skie;421;0,93;18;4;14;t24
œwiêtokrzyskie;192;1,56;2;1;1;t26
warmiñsko-mazurskie;327;2,3;9;0;9;t28
wielkopolskie;532;1,52;30;4;26;t30
zachodniopomorskie;599;3,54;1;0;1;t32
