Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;5048;1,32;69;4;65;t00
dolnoœl¹skie;219;0,76;0;0;0;t02
kujawsko-pomorskie;472;2,28;11;0;11;t04
lubelskie;268;1,27;8;1;7;t06
lubuskie;111;1,1;0;0;0;t08
³ódzkie;280;1,14;0;0;0;t10
ma³opolskie;169;0,5;1;0;1;t12
mazowieckie;741;1,37;19;0;19;t14
opolskie;97;0,99;1;1;0;t16
podkarpackie;132;0,62;1;0;1;t18
podlaskie;115;0,98;2;1;1;t20
pomorskie;487;2,08;0;0;0;t22
œl¹skie;285;0,63;2;0;2;t24
œwiêtokrzyskie;82;0,67;4;0;4;t26
warmiñsko-mazurskie;315;2,22;1;0;1;t28
wielkopolskie;518;1,48;15;1;14;t30
zachodniopomorskie;557;3,29;4;0;4;t32
