Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;8594;2,24;143;39;104;t00
dolnoœl¹skie;486;1,68;8;0;8;t02
kujawsko-pomorskie;788;3,81;13;1;12;t04
lubelskie;299;1,42;20;5;15;t06
lubuskie;320;3,17;1;1;0;t08
³ódzkie;447;1,83;9;1;8;t10
ma³opolskie;310;0,91;1;0;1;t12
mazowieckie;1105;2,04;17;5;12;t14
opolskie;173;1,76;1;0;1;t16
podkarpackie;142;0,67;10;0;10;t18
podlaskie;178;1,51;9;5;4;t20
pomorskie;817;3,48;3;0;3;t22
œl¹skie;694;1,54;17;2;15;t24
œwiêtokrzyskie;129;1,05;1;0;1;t26
warmiñsko-mazurskie;612;4,31;1;0;1;t28
wielkopolskie;1151;3,29;24;19;5;t30
zachodniopomorskie;773;4,57;8;0;8;t32
