Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;11953;3,12;431;93;338;t00
dolnoœl¹skie;681;2,35;27;3;24;t02
kujawsko-pomorskie;1138;5,5;45;8;37;t04
lubelskie;699;3,32;22;10;12;t06
lubuskie;320;3,17;21;18;3;t08
³ódzkie;767;3,13;27;4;23;t10
ma³opolskie;351;1,03;32;9;23;t12
mazowieckie;1318;2,43;61;13;48;t14
opolskie;251;2,56;15;1;14;t16
podkarpackie;288;1,35;16;2;14;t18
podlaskie;230;1,95;10;5;5;t20
pomorskie;951;4,05;22;2;20;t22
œl¹skie;964;2,14;27;1;26;t24
œwiêtokrzyskie;231;1,88;11;1;10;t26
warmiñsko-mazurskie;935;6,58;27;3;24;t28
wielkopolskie;1555;4,44;51;13;38;t30
zachodniopomorskie;1124;6,64;17;0;17;t32
