Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;13110;3,42;544;132;412;t00
dolnoœl¹skie;797;2,75;49;3;46;t02
kujawsko-pomorskie;1002;4,84;52;16;36;t04
lubelskie;639;3,04;15;5;10;t06
lubuskie;447;4,42;18;11;7;t08
³ódzkie;838;3,42;41;10;31;t10
ma³opolskie;472;1,38;27;14;13;t12
mazowieckie;1722;3,17;58;11;47;t14
opolskie;337;3,44;13;1;12;t16
podkarpackie;260;1,22;36;8;28;t18
podlaskie;308;2,62;40;17;23;t20
pomorskie;1147;4,89;22;4;18;t22
œl¹skie;1080;2,4;68;5;63;t24
œwiêtokrzyskie;218;1,77;9;0;9;t26
warmiñsko-mazurskie;1198;8,43;17;0;17;t28
wielkopolskie;1411;4,03;49;25;24;t30
zachodniopomorskie;1110;6,56;30;2;28;t32
