Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;6907;1,8;349;77;272;t00
dolnoœl¹skie;519;1,79;30;4;26;t02
kujawsko-pomorskie;750;3,62;28;7;21;t04
lubelskie;437;2,08;14;2;12;t06
lubuskie;150;1,48;17;9;8;t08
³ódzkie;446;1,82;26;11;15;t10
ma³opolskie;232;0,68;27;7;20;t12
mazowieckie;768;1,41;23;3;20;t14
opolskie;129;1,32;17;3;14;t16
podkarpackie;306;1,44;7;2;5;t18
podlaskie;169;1,44;5;1;4;t20
pomorskie;495;2,11;29;3;26;t22
œl¹skie;608;1,35;45;5;40;t24
œwiêtokrzyskie;174;1,41;8;1;7;t26
warmiñsko-mazurskie;572;4,03;23;3;20;t28
wielkopolskie;639;1,83;46;16;30;t30
zachodniopomorskie;328;1,94;4;0;4;t32
