Województwo;Powiat/Miasto;Liczba przypadków;Liczba na 10 tys, mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;;5733;1,49;121;21;100;t0000
dolnoœl¹skie;boles³awiecki;7;0,78;0;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;21;2,09;0;0;0;t0202
dolnoœl¹skie;g³ogowski;13;1,46;0;0;0;t0203
dolnoœl¹skie;górowski;6;1,73;0;0;0;t0204
dolnoœl¹skie;jaworski;9;1,8;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;11;1,74;0;0;0;t0206
dolnoœl¹skie;kamiennogórski;1;0,23;0;0;0;t0207
dolnoœl¹skie;k³odzki;33;2,1;0;0;0;t0208
dolnoœl¹skie;legnicki;9;1,63;0;0;0;t0209
dolnoœl¹skie;lubañski;8;1,48;0;0;0;t0210
dolnoœl¹skie;lubiñski;5;0,47;0;0;0;t0211
dolnoœl¹skie;lwówecki;2;0,44;0;0;0;t0212
dolnoœl¹skie;milicki;11;2,98;0;0;0;t0213
dolnoœl¹skie;oleœnicki;39;3,63;0;0;0;t0214
dolnoœl¹skie;o³awski;26;3,38;4;1;3;t0215
dolnoœl¹skie;polkowicki;2;0,32;0;0;0;t0216
dolnoœl¹skie;strzeliñski;7;1,61;0;0;0;t0217
dolnoœl¹skie;œredzki;8;1,45;0;0;0;t0218
dolnoœl¹skie;œwidnicki;15;0,96;0;0;0;t0219
dolnoœl¹skie;trzebnicki;27;3,16;0;0;0;t0220
dolnoœl¹skie;wa³brzyski;6;1,08;0;0;0;t0221
dolnoœl¹skie;wo³owski;21;4,49;0;0;0;t0222
dolnoœl¹skie;wroc³awski;29;1,88;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;12;1,86;0;0;0;t0224
dolnoœl¹skie;zgorzelecki;0;0;1;1;0;t0225
dolnoœl¹skie;z³otoryjski;4;0,92;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;4;0,51;0;0;0;t0261
dolnoœl¹skie;Legnica;13;1,31;0;0;0;t0262
dolnoœl¹skie;Wroc³aw;80;1,24;0;0;0;t0264
dolnoœl¹skie;Wa³brzych;16;1,45;0;0;0;t0265
kujawsko-pomorskie;aleksandrowski;8;1,45;1;0;1;t0401
kujawsko-pomorskie;brodnicki;9;1,14;0;0;0;t0402
kujawsko-pomorskie;bydgoski;19;1,59;0;0;0;t0403
kujawsko-pomorskie;che³miñski;3;0,58;1;0;1;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;4;0,89;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;9;2,24;0;0;0;t0406
kujawsko-pomorskie;inowroc³awski;21;1,32;0;0;0;t0407
kujawsko-pomorskie;lipnowski;3;0,46;0;0;0;t0408
kujawsko-pomorskie;mogileñski;9;1,98;0;0;0;t0409
kujawsko-pomorskie;nakielski;7;0,81;0;0;0;t0410
kujawsko-pomorskie;radziejowski;1;0,25;0;0;0;t0411
kujawsko-pomorskie;rypiñski;2;0,46;1;0;1;t0412
kujawsko-pomorskie;sêpoleñski;2;0,49;1;0;1;t0413
kujawsko-pomorskie;œwiecki;8;0,81;0;0;0;t0414
kujawsko-pomorskie;toruñski;7;0,64;0;0;0;t0415
kujawsko-pomorskie;tucholski;6;1,24;0;0;0;t0416
kujawsko-pomorskie;w¹brzeski;4;1,17;0;0;0;t0417
kujawsko-pomorskie;w³oc³awski;6;0,7;0;0;0;t0418
kujawsko-pomorskie;¿niñski;25;3,57;0;0;0;t0419
kujawsko-pomorskie;Bydgoszcz;74;2,13;0;0;0;t0461
kujawsko-pomorskie;Grudzi¹dz;30;3,19;0;0;0;t0462
kujawsko-pomorskie;Toruñ;30;1,49;0;0;0;t0463
kujawsko-pomorskie;W³oc³awek;10;0,91;0;0;0;t0464
lubelskie;bialski;24;2,17;8;1;7;t0601
lubelskie;bi³gorajski;6;0,6;0;0;0;t0602
lubelskie;che³mski;6;0,77;0;0;0;t0603
lubelskie;hrubieszowski;2;0,32;0;0;0;t0604
lubelskie;janowski;1;0,22;0;0;0;t0605
lubelskie;krasnostawski;14;2,22;0;0;0;t0606
lubelskie;kraœnicki;12;1,26;0;0;0;t0607
lubelskie;lubartowski;23;2,61;0;0;0;t0608
lubelskie;lubelski;28;1,79;0;0;0;t0609
lubelskie;³êczyñski;6;1,05;0;0;0;t0610
lubelskie;³ukowski;1;0,09;0;0;0;t0611
lubelskie;opolski;3;0,51;0;0;0;t0612
lubelskie;parczewski;4;1,16;0;0;0;t0613
lubelskie;pu³awski;43;3,81;0;0;0;t0614
lubelskie;radzyñski;0;0;1;0;1;t0615
lubelskie;rycki;7;1,25;0;0;0;t0616
lubelskie;œwidnicki;21;2,93;0;0;0;t0617
lubelskie;tomaszowski;8;0,97;0;0;0;t0618
lubelskie;w³odawski;14;3,66;0;0;0;t0619
lubelskie;zamojski;5;0,47;2;0;2;t0620
