Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;11267;2,94;483;108;375;t00
dolnoœl¹skie;593;2,05;24;6;18;t02
kujawsko-pomorskie;1114;5,38;32;6;26;t04
lubelskie;650;3,09;29;5;24;t06
lubuskie;407;4,03;19;11;8;t08
³ódzkie;762;3,11;32;0;32;t10
ma³opolskie;391;1,15;22;13;9;t12
mazowieckie;1383;2,55;47;10;37;t14
opolskie;222;2,26;14;1;13;t16
podkarpackie;366;1,72;13;3;10;t18
podlaskie;341;2,9;9;4;5;t20
pomorskie;1040;4,43;30;3;27;t22
œl¹skie;803;1,78;55;10;45;t24
œwiêtokrzyskie;164;1,33;16;0;16;t26
warmiñsko-mazurskie;707;4,98;36;5;31;t28
wielkopolskie;1197;3,42;79;31;48;t30
zachodniopomorskie;974;5,75;26;0;26;t32
