wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;Ca³y kraj;7914.0;2,06;307;55;252;t0000
dolnoœl¹skie;boles³awiecki;38.0;4,22;0;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;4.0;0,4;0;0;0;t0202
dolnoœl¹skie;g³ogowski;1.0;0,11;0;0;0;t0203
dolnoœl¹skie;górowski;9.0;2,59;0;0;0;t0204
dolnoœl¹skie;jaworski;2.0;0,4;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;11.0;1,74;4;2;2;t0206
dolnoœl¹skie;kamiennogórski;1.0;0,23;0;0;0;t0207
dolnoœl¹skie;k³odzki;15.0;0,95;3;0;3;t0208
dolnoœl¹skie;legnicki;15.0;2,72;2;0;2;t0209
dolnoœl¹skie;lubañski;7.0;1,29;0;0;0;t0210
dolnoœl¹skie;lubiñski;12.0;1,13;0;0;0;t0211
dolnoœl¹skie;lwówecki;10.0;2,18;0;0;0;t0212
dolnoœl¹skie;milicki;;;0;0;0;t0213
dolnoœl¹skie;oleœnicki;12.0;1,12;0;0;0;t0214
dolnoœl¹skie;o³awski;3.0;0,39;0;0;0;t0215
dolnoœl¹skie;polkowicki;4.0;0,63;0;0;0;t0216
dolnoœl¹skie;strzeliñski;19.0;4,37;1;1;0;t0217
dolnoœl¹skie;œredzki;2.0;0,36;1;0;1;t0218
dolnoœl¹skie;œwidnicki;10.0;0,64;0;0;0;t0219
dolnoœl¹skie;trzebnicki;9.0;1,05;1;0;1;t0220
dolnoœl¹skie;wa³brzyski;5.0;0,9;0;0;0;t0221
dolnoœl¹skie;wo³owski;3.0;0,64;0;0;0;t0222
dolnoœl¹skie;wroc³awski;25.0;1,62;1;0;1;t0223
dolnoœl¹skie;z¹bkowicki;4.0;0,62;1;1;0;t0224
dolnoœl¹skie;zgorzelecki;8.0;0,9;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;2.0;0,46;1;0;1;t0226
dolnoœl¹skie;Jelenia Góra;8.0;1,02;2;2;0;t0261
dolnoœl¹skie;Legnica;18.0;1,82;2;0;2;t0262
dolnoœl¹skie;Wroc³aw;127.0;1,97;10;0;10;t0264
dolnoœl¹skie;Wa³brzych;21.0;1,9;0;0;0;t0265
kujawsko-pomorskie;aleksandrowski;7.0;1,27;0;0;0;t0401
kujawsko-pomorskie;brodnicki;14.0;1,77;4;1;3;t0402
kujawsko-pomorskie;bydgoski;56.0;4,69;2;0;2;t0403
kujawsko-pomorskie;che³miñski;20.0;3,86;0;0;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;12.0;2,67;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;14.0;3,48;0;0;0;t0406
kujawsko-pomorskie;inowroc³awski;34.0;2,13;5;2;3;t0407
kujawsko-pomorskie;lipnowski;14.0;2,13;1;0;1;t0408
kujawsko-pomorskie;mogileñski;9.0;1,98;1;0;1;t0409
kujawsko-pomorskie;nakielski;10.0;1,16;0;0;0;t0410
kujawsko-pomorskie;radziejowski;8.0;1,99;2;0;2;t0411
kujawsko-pomorskie;rypiñski;;;2;0;2;t0412
kujawsko-pomorskie;sêpoleñski;22.0;5,38;0;0;0;t0413
kujawsko-pomorskie;œwiecki;25.0;2,53;0;0;0;t0414
kujawsko-pomorskie;toruñski;53.0;4,87;2;1;1;t0415
kujawsko-pomorskie;tucholski;13.0;2,69;1;0;1;t0416
kujawsko-pomorskie;w¹brzeski;21.0;6,16;0;0;0;t0417
kujawsko-pomorskie;w³oc³awski;10.0;1,16;0;0;0;t0418
kujawsko-pomorskie;¿niñski;39.0;5,57;0;0;0;t0419
kujawsko-pomorskie;Bydgoszcz;161.0;4,64;3;0;3;t0461
kujawsko-pomorskie;Grudzi¹dz;38.0;4,04;1;0;1;t0462
kujawsko-pomorskie;Toruñ;108.0;5,37;2;0;2;t0463
kujawsko-pomorskie;W³oc³awek;32.0;2,93;1;0;1;t0464
lubelskie;bialski;10.0;0,91;1;1;0;t0601
lubelskie;bi³gorajski;6.0;0,6;0;0;0;t0602
lubelskie;che³mski;7.0;0,9;0;0;0;t0603
lubelskie;hrubieszowski;10.0;1,6;3;0;3;t0604
lubelskie;janowski;5.0;1,1;1;0;1;t0605
lubelskie;krasnostawski;25.0;3,97;2;0;2;t0606
lubelskie;kraœnicki;35.0;3,68;0;0;0;t0607
lubelskie;lubartowski;3.0;0,34;2;1;1;t0608
lubelskie;lubelski;42.0;2,69;1;0;1;t0609
