Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;9077;2,37;240;63;177;t00
dolnoœl¹skie;474;1,64;10;7;3;t02
kujawsko-pomorskie;767;3,71;27;12;15;t04
lubelskie;357;1,7;29;4;25;t06
lubuskie;351;3,47;1;1;0;t08
³ódzkie;739;3,02;10;7;3;t10
ma³opolskie;210;0,62;8;4;4;t12
mazowieckie;1166;2,15;22;0;22;t14
opolskie;258;2,63;2;0;2;t16
podkarpackie;212;1;18;3;15;t18
podlaskie;242;2,06;6;1;5;t20
pomorskie;666;2,84;10;1;9;t22
œl¹skie;695;1,54;21;1;20;t24
œwiêtokrzyskie;89;0,72;5;1;4;t26
warmiñsko-mazurskie;607;4,27;0;0;0;t28
wielkopolskie;1045;2,99;44;21;23;t30
zachodniopomorskie;990;5,85;27;0;27;t32
