Województwo;Liczba przypadków;Liczba na 10 tys, mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;11483;2,99;283;46;237;t00
dolnoœl¹skie;781;2,69;11;0;11;t02
kujawsko-pomorskie;623;3,01;14;1;13;t04
lubelskie;616;2,93;25;4;21;t06
lubuskie;373;3,69;6;3;3;t08
³ódzkie;838;3,42;37;3;34;t10
ma³opolskie;440;1,29;9;7;2;t12
mazowieckie;1413;2,6;57;5;52;t14
opolskie;432;4,4;3;0;3;t16
podkarpackie;339;1,59;28;5;23;t18
podlaskie;307;2,61;11;1;10;t20
pomorskie;978;4,17;19;2;17;t22
œl¹skie;977;2,17;19;4;15;t24
œwiêtokrzyskie;270;2,2;10;2;8;t26
warmiñsko-mazurskie;618;4,35;7;0;7;t28
wielkopolskie;1574;4,5;21;6;15;t30
zachodniopomorskie;780;4,61;6;3;3;t32
