Województwo;Powiat/Miasto;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;;14838;3,87;620;109;510;t0000
dolnoœl¹skie;boles³awiecki;55;6,11;0;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;12;1,19;2;0;2;t0202
dolnoœl¹skie;g³ogowski;32;3,6;1;0;1;t0203
dolnoœl¹skie;górowski;2;0,58;0;0;0;t0204
dolnoœl¹skie;jaworski;22;4,41;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;10;1,58;2;0;2;t0206
dolnoœl¹skie;kamiennogórski;8;1,86;1;0;1;t0207
dolnoœl¹skie;k³odzki;22;1,4;1;0;1;t0208
dolnoœl¹skie;legnicki;16;2,9;0;0;0;t0209
dolnoœl¹skie;lubañski;19;3,51;0;0;0;t0210
dolnoœl¹skie;lubiñski;56;5,28;2;0;2;t0211
dolnoœl¹skie;lwówecki;10;2,18;0;0;0;t0212
dolnoœl¹skie;milicki;8;2,17;1;1;0;t0213
dolnoœl¹skie;oleœnicki;36;3,35;1;0;1;t0214
dolnoœl¹skie;o³awski;22;2,86;0;0;0;t0215
dolnoœl¹skie;polkowicki;18;2,85;0;0;0;t0216
dolnoœl¹skie;strzeliñski;15;3,45;0;0;0;t0217
dolnoœl¹skie;œredzki;29;5,24;0;0;0;t0218
dolnoœl¹skie;œwidnicki;44;2,81;7;0;7;t0219
dolnoœl¹skie;trzebnicki;20;2,34;1;0;1;t0220
dolnoœl¹skie;wa³brzyski;13;2,35;1;0;1;t0221
dolnoœl¹skie;wo³owski;8;1,71;0;0;0;t0222
dolnoœl¹skie;wroc³awski;54;3,51;2;0;2;t0223
dolnoœl¹skie;z¹bkowicki;8;1,24;0;0;0;t0224
dolnoœl¹skie;zgorzelecki;40;4,51;1;1;0;t0225
dolnoœl¹skie;z³otoryjski;10;2,31;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;15;1,9;2;1;1;t0261
dolnoœl¹skie;Legnica;27;2,73;1;1;0;t0262
dolnoœl¹skie;Wroc³aw;186;2,89;13;0;13;t0264
dolnoœl¹skie;Wa³brzych;27;2,44;2;0;2;t0265
