Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;14838;3,87;620;109;511;t00
dolnoœl¹skie;844;2,91;41;4;37;t02
kujawsko-pomorskie;1354;6,54;27;2;25;t04
lubelskie;793;3,77;44;6;38;t06
lubuskie;358;3,54;12;4;8;t08
³ódzkie;889;3,63;41;6;35;t10
ma³opolskie;646;1,89;50;27;23;t12
mazowieckie;1780;3,28;75;6;69;t14
opolskie;469;4,78;27;5;22;t16
podkarpackie;413;1,94;29;9;20;t18
podlaskie;356;3,03;26;0;26;t20
pomorskie;1226;5,22;25;11;14;t22
œl¹skie;1531;3,4;71;7;64;t24
œwiêtokrzyskie;353;2,87;16;3;13;t26
warmiñsko-mazurskie;1058;7,45;49;7;42;t28
wielkopolskie;1755;5,01;61;12;49;t30
zachodniopomorskie;939;5,55;26;0;26;t32
