Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;15178;3,96;599;85;514;t00
dolnoœl¹skie;1481;5,11;30;1;29;t02
kujawsko-pomorskie;1004;4,85;29;3;26;t04
lubelskie;937;4,45;37;13;24;t06
lubuskie;398;3,94;20;5;15;t08
³ódzkie;658;2,69;60;8;52;t10
ma³opolskie;661;1,94;42;15;27;t12
mazowieckie;1986;3,66;60;6;54;t14
opolskie;429;4,37;18;0;18;t16
podkarpackie;713;3,35;51;14;37;t18
podlaskie;481;4,09;15;0;15;t20
pomorskie;1026;4,37;44;3;41;t22
œl¹skie;1402;3,11;54;1;53;t24
œwiêtokrzyskie;310;2,52;16;1;15;t26
warmiñsko-mazurskie;950;6,69;47;3;44;t28
wielkopolskie;1748;4,99;60;8;52;t30
zachodniopomorskie;902;5,33;16;4;12;t32
