Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;13749;3,58;470;113;357;t00
dolnoœl¹skie;985;3,4;24;7;17;t02
kujawsko-pomorskie;1404;6,78;35;3;32;t04
lubelskie;618;2,94;33;12;21;t06
lubuskie;467;4,62;17;12;5;t08
³ódzkie;863;3,52;67;13;54;t10
ma³opolskie;488;1,43;27;11;16;t12
mazowieckie;1701;3,13;48;18;30;t14
opolskie;493;5,03;14;1;13;t16
podkarpackie;406;1,91;33;8;25;t18
podlaskie;364;3,09;5;2;3;t20
pomorskie;887;3,78;19;5;14;t22
œl¹skie;1251;2,78;47;1;46;t24
œwiêtokrzyskie;215;1,75;14;0;14;t26
warmiñsko-mazurskie;897;6,31;30;2;28;t28
wielkopolskie;1672;4,78;49;18;31;t30
zachodniopomorskie;956;5,65;8;0;8;t32
