Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;12454;3,25;605;155;450;t00
dolnoœl¹skie;629;2,17;40;7;33;t02
kujawsko-pomorskie;1181;5,71;45;7;38;t04
lubelskie;641;3,05;37;6;31;t06
lubuskie;323;3,2;29;22;7;t08
³ódzkie;943;3,85;68;21;47;t10
ma³opolskie;538;1,58;25;18;7;t12
mazowieckie;1461;2,69;66;18;48;t14
opolskie;247;2,52;20;0;20;t16
podkarpackie;322;1,51;31;9;22;t18
podlaskie;370;3,14;29;15;14;t20
pomorskie;868;3,7;28;6;22;t22
œl¹skie;1340;2,97;48;2;46;t24
œwiêtokrzyskie;181;1,47;11;1;10;t26
warmiñsko-mazurskie;815;5,74;31;5;26;t28
wielkopolskie;1373;3,92;73;17;56;t30
zachodniopomorskie;1064;6,28;24;1;23;t32
