Województwo;Powiat/Miasto;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;;13239;3,45;531;110;421;t0000
dolnoœl¹skie;boles³awiecki;22;2,44;0;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;27;2,69;0;0;0;t0202
dolnoœl¹skie;g³ogowski;24;2,7;1;0;1;t0203
dolnoœl¹skie;górowski;2;0,58;1;0;1;t0204
dolnoœl¹skie;jaworski;15;3;4;1;3;t0205
dolnoœl¹skie;jeleniogórski;25;3,94;0;0;0;t0206
dolnoœl¹skie;kamiennogórski;13;3,02;0;0;0;t0207
dolnoœl¹skie;k³odzki;37;2,35;3;0;3;t0208
dolnoœl¹skie;legnicki;12;2,17;0;0;0;t0209
dolnoœl¹skie;lubañski;15;2,77;2;2;0;t0210
dolnoœl¹skie;lubiñski;14;1,32;0;0;0;t0211
dolnoœl¹skie;lwówecki;12;2,62;0;0;0;t0212
dolnoœl¹skie;milicki;14;3,79;1;0;1;t0213
dolnoœl¹skie;oleœnicki;43;4,01;1;1;0;t0214
dolnoœl¹skie;o³awski;17;2,21;3;0;3;t0215
dolnoœl¹skie;polkowicki;17;2,69;0;0;0;t0216
dolnoœl¹skie;strzeliñski;1;0,23;1;0;1;t0217
dolnoœl¹skie;œredzki;11;1,99;2;0;2;t0218
dolnoœl¹skie;œwidnicki;39;2,49;4;0;4;t0219
dolnoœl¹skie;trzebnicki;20;2,34;1;0;1;t0220
dolnoœl¹skie;wa³brzyski;17;3,07;1;0;1;t0221
dolnoœl¹skie;wo³owski;19;4,07;5;0;5;t0222
dolnoœl¹skie;wroc³awski;50;3,25;1;1;0;t0223
dolnoœl¹skie;z¹bkowicki;18;2,79;1;0;1;t0224
dolnoœl¹skie;zgorzelecki;27;3,04;1;1;0;t0225
dolnoœl¹skie;z³otoryjski;11;2,54;3;0;3;t0226
dolnoœl¹skie;Jelenia Góra;36;4,57;1;0;1;t0261
dolnoœl¹skie;Legnica;23;2,32;1;0;1;t0262
dolnoœl¹skie;Wroc³aw;204;3,17;2;0;2;t0264
dolnoœl¹skie;Wa³brzych;43;3,89;2;0;2;t0265
kujawsko-pomorskie;aleksandrowski;11;2;0;0;0;t0401
kujawsko-pomorskie;brodnicki;23;2,91;3;0;3;t0402
kujawsko-pomorskie;bydgoski;57;4,77;2;2;0;t0403
kujawsko-pomorskie;che³miñski;25;4,82;0;0;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;18;4;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;22;5,47;0;0;0;t0406
kujawsko-pomorskie;inowroc³awski;57;3,58;0;0;0;t0407
kujawsko-pomorskie;lipnowski;19;2,9;0;0;0;t0408
kujawsko-pomorskie;mogileñski;9;1,98;0;0;0;t0409
kujawsko-pomorskie;nakielski;76;8,81;0;0;0;t0410
kujawsko-pomorskie;radziejowski;29;7,21;0;0;0;t0411
kujawsko-pomorskie;rypiñski;4;0,92;0;0;0;t0412
kujawsko-pomorskie;sêpoleñski;6;1,47;0;0;0;t0413
kujawsko-pomorskie;œwiecki;68;6,87;0;0;0;t0414
kujawsko-pomorskie;toruñski;75;6,88;1;0;1;t0415
kujawsko-pomorskie;tucholski;23;4,76;0;0;0;t0416
kujawsko-pomorskie;w¹brzeski;16;4,69;0;0;0;t0417
kujawsko-pomorskie;w³oc³awski;29;3,38;0;0;0;t0418
kujawsko-pomorskie;¿niñski;37;5,28;0;0;0;t0419
